Depth,AC,CAL,CNL,DEN,GR,HAC,ILD,ILM,LLD,LLS,MINV,MNOR,MSFL,SFLU,SP,result
1216.3491,100.7921,8.4386,28.8052,2.2663,81.4192,101.7492,8.8844,9.3696,11.0996,10.4579,8.4023,7.9057,13.8765,12.7416,64.7898,油层
1216.3991,100.9528,8.438,28.5121,2.2676,80.4272,101.5205,8.8728,9.3353,11.9722,11.2352,8.3349,7.7039,13.9578,13.0211,64.6354,油层
1216.4491,101.443,8.436,28.2094,2.2707,79.1934,102.0804,8.8224,9.358,12.59,11.7894,8.5334,7.5538,13.5779,13.0323,64.5323,油层
1216.4991,101.8377,8.4362,27.9234,2.2803,77.9932,102.8235,8.7849,9.2913,12.8026,12.0129,9.1643,7.4156,13.8924,13.0435,64.4849,油层
1216.5491,102.2746,8.4349,27.6344,2.2988,76.547,103.5758,8.8363,9.2246,12.7298,12.0111,9.4628,7.5874,14.2024,12.8901,64.494,油层
1216.5991,102.6288,8.4326,27.3392,2.3194,75.579,103.4489,8.8834,9.2176,12.6103,11.9419,9.5009,7.9049,15.2105,12.7151,64.5569,油层
1216.6491,103.0926,8.4304,27.0791,2.3388,75.3037,102.3393,8.9467,9.2222,12.4784,11.8709,9.7231,7.8708,16.0195,12.5401,64.6671,油层
1216.6991,103.0485,8.4293,26.8404,2.3591,75.6345,101.198,8.9679,9.2267,12.4204,11.8494,10.1485,8.2948,16.198,12.3158,64.8157,油层
1216.7491,101.4738,8.4268,26.644,2.3776,76.0648,99.6237,9.0345,9.2006,12.3936,11.8465,10.1294,8.9266,16.6753,11.9783,64.9911,油层
1216.7991,99.1242,8.425,26.4669,2.3949,76.8475,98.2566,9.1378,9.1698,12.4173,11.868,9.1253,9.2283,16.9913,11.6408,65.1804,油层
1216.8491,94.8333,8.4225,26.3019,2.4044,77.5637,95.6847,9.3063,9.139,12.3328,11.7781,8.4166,8.2392,15.6804,11.3227,65.3701,油层
1216.8991,91.8245,8.4205,26.1374,2.4203,78.2209,93.3799,9.402,9.1178,12.0275,11.4954,8.9738,7.5918,14.2086,11.0156,65.5472,油层
1216.9491,89.0049,8.4177,25.9851,2.4448,78.7743,90.3977,9.5598,9.1705,11.5217,11.0534,9.9058,8.5669,15.0937,10.7085,65.6997,油层
1216.9991,87.6993,8.4152,25.82,2.4607,79.2191,88.5468,9.6175,9.2231,10.8525,10.5166,10.2433,9.9246,15.4081,10.3405,65.8176,油层
1217.0491,86.7675,8.4119,25.6314,2.4646,79.5061,86.2641,9.6744,9.2854,10.084,9.8779,9.7671,10.163,15.847,9.9883,65.8932,油层
1217.0991,86.289,8.4092,25.4906,2.4613,79.7779,84.1729,9.7103,9.4377,9.372,9.3023,9.9114,9.2299,18.885,9.7274,65.9218,油层
1217.1491,85.8485,8.4067,25.3864,2.452,79.853,81.5055,9.7936,9.59,8.8979,8.9314,10.9615,8.986,22.5319,9.7546,65.9017,油层
1217.1991,85.5569,8.4063,25.2834,2.4382,79.6128,80.6937,9.83,9.7862,8.7123,8.8067,10.9667,10.5928,24.6968,9.8922,65.8341,油层
1217.2491,85.1434,8.4069,25.1815,2.4241,79.1449,83.1255,9.7241,10.0244,9.0644,9.135,9.4842,10.9885,23.3516,10.535,65.7233,油层
1217.2991,84.7873,8.4065,25.086,2.4144,78.4598,86.8855,9.6127,10.2085,9.5561,9.5964,7.3342,9.7156,21.2395,11.5988,65.5761,油层
1217.3491,84.4239,8.4078,25.0689,2.4077,77.7531,92.3928,9.5243,10.3647,10.2056,10.219,6.7084,6.9599,17.4767,12.7204,65.4016,油层
1217.3991,84.2934,8.4086,25.1215,2.4043,76.9,95.0498,9.4105,10.5013,11.0156,10.9459,7.4157,5.8438,14.6489,14.0761,65.2105,油层
1217.4491,84.2736,8.4085,25.2026,2.4059,76.2738,94.8635,9.2394,10.5363,11.7998,11.648,8.0366,6.7802,11.7827,15.265,65.0146,油层
1217.4991,84.1847,8.4093,25.3271,2.4092,75.6272,92.496,9.0632,10.4468,12.2775,12.0158,9.1944,7.3323,11.5897,16.4539,64.8258,油层
1217.5491,83.9832,8.4098,25.4989,2.4136,74.8777,86.9734,8.9464,10.2236,12.8396,12.3715,11.6783,8.3062,13.0194,17.0485,64.6558,油层
1217.5991,84.0004,8.4079,25.6776,2.4134,74.4561,82.459,8.7832,10.0165,13.4748,12.7661,14.866,10.2149,18.1396,17.4129,64.515,油层
1217.6491,84.7811,8.4073,25.8956,2.4078,74.124,78.2106,8.6633,9.7255,14.3993,13.4246,18.0726,12.8574,24.5696,17.4503,64.4121,油层
1217.6991,85.8288,8.4074,26.1554,2.3969,73.8462,77.1768,8.6033,9.4345,15.3314,14.0816,19.4841,15.7737,28.9943,16.6771,64.3532,油层
1217.7491,87.564,8.4066,26.4729,2.3813,74.0572,79.9211,8.478,9.1523,16.1616,14.6964,18.7036,17.4872,39.3607,15.5595,64.3419,油层
1217.7991,88.7198,8.4069,26.8676,2.3631,74.6665,83.644,8.3978,8.8315,16.6454,15.1149,15.8399,17.3246,42.0444,14.2676,64.3788,油层
1217.8491,89.7308,8.41,27.2283,2.3524,75.2707,89.0777,8.3191,8.5278,16.4994,15.0207,12.6607,14.74,38.9963,12.6656,64.4616,油层
1217.8991,90.2114,8.4112,27.5641,2.3484,75.9649,92.4302,8.3203,8.2723,15.491,14.236,10.5758,11.534,33.2796,11.2426,64.5857,油层
1217.9491,90.7547,8.4116,27.9054,2.3504,77.1035,95.1009,8.2774,8.1288,14.1535,13.1582,9.5674,9.5889,28.6814,9.8196,64.7445,油层
1217.9991,91.3905,8.4137,28.2114,2.3556,78.539,96.4251,8.1672,7.9854,12.5332,11.8582,9.0024,8.7779,18.7798,8.8996,64.9299,油层
1218.0491,92.767,8.4155,28.5227,2.3622,79.959,97.1022,8.0871,7.8326,10.9353,10.5655,8.6921,8.3254,15.5917,8.0193,65.1335,油层
1218.0991,94.0976,8.4174,28.792,2.3666,81.3246,96.9379,7.9626,7.6945,9.6402,9.4856,8.0541,8.0857,14.5849,7.4659,65.3471,油层
1218.1491,95.9838,8.4225,28.9784,2.3662,82.8745,95.7037,7.7825,7.5564,8.6661,8.608,7.1934,7.5719,13.488,7.2485,65.5633,油层
1218.1991,97.3734,8.4277,29.1442,2.3634,84.1653,94.7102,7.6673,7.4602,7.9554,7.9638,6.4756,6.7803,12.8349,7.0311,65.7759,油层
1218.2491,99.0036,8.4304,29.2356,2.3609,85.368,94.1869,7.5462,7.3501,7.6305,7.5947,6.0652,5.9858,12.2953,7.0094,65.9807,油层
1218.2991,100.003,8.4354,29.2083,2.3565,86.4691,94.3962,7.3753,7.2229,7.5062,7.3913,5.9858,5.554,11.1894,7.0655,66.1751,油层
1218.3491,100.5121,8.4396,29.1856,2.3529,86.9876,95.0634,7.2011,7.0961,7.4955,7.2903,6.0903,5.4694,10.249,7.1324,66.3581,油层
1218.3991,100.2119,8.442,29.1337,2.353,87.3751,95.3749,7.0313,6.9693,7.4843,7.2551,6.5001,5.6187,9.7834,7.1994,66.5302,油层
1218.4491,98.7961,8.4455,29.0609,2.3566,87.8029,95.3583,6.9055,6.8411,7.4671,7.2124,6.9738,5.8789,9.6904,7.2283,66.6929,油层
