Depth,AC,CAL,CNL,DEN,GR,MINV,MNOR,R045,R4,RILD,RILM,RLL8,RLLD,RLLS,RPRX,SP,result
1322.21875,100.4952,10.0743,28.2366,2.1622,80.9236,4.2727,5.9469,5.2915,3.7959,4.2582,4.2501,7.9528,8.1131,7.7329,19.5053,76.0027,水层
1322.25,100.495,10.0948,28.3326,2.1599,81.4741,4.2594,5.8943,5.2669,3.8453,4.2257,4.2416,7.8942,8.0682,7.7329,18.9692,75.9497,水层
1322.28125,100.4948,10.1154,28.4286,2.1579,82.0207,4.22,5.8681,5.2549,3.9198,4.2015,4.2173,7.836,8.0385,7.7328,18.6894,75.9227,水层
1322.3125,100.4947,10.1259,28.5967,2.1569,82.3317,4.219,5.8417,5.2559,3.9693,4.1853,4.1542,7.7926,8.0384,7.7328,18.3791,75.8694,水层
1322.34375,100.4945,10.1262,28.7407,2.1561,82.3193,4.2183,5.8026,5.2823,4.0312,4.1304,4.0923,7.7638,8.0236,7.7327,18.04,75.8166,水层
1322.375,100.4943,10.1267,28.8967,2.1573,82.3088,4.2172,5.7759,5.3217,4.055,4.0915,4.0163,7.7209,8.0681,7.7613,17.9056,75.7634,水层
1322.40625,100.4942,10.1169,28.9448,2.1581,82.056,4.2164,5.7364,5.3354,4.104,4.0379,3.9271,7.7066,8.083,7.79,18.0032,75.7485,水层
1322.4375,100.4339,10.1022,29.0648,2.1601,81.805,4.2284,5.6976,5.3749,4.1281,4.0,3.8185,7.6923,8.173,7.8332,18.2364,75.7206,水层
1322.46875,100.3937,10.0773,29.1728,2.1617,81.5522,4.2785,5.6712,5.4399,4.1264,3.9549,3.6923,7.6923,8.2639,7.9058,18.644,75.7058,水层
1322.5,100.3534,10.0474,29.3169,2.1647,81.3003,4.3033,5.6449,5.4793,4.1243,3.9032,3.5836,7.7208,8.3559,7.9644,19.0956,75.7049,水层
1322.53125,100.2732,10.0124,29.4609,2.1667,81.2086,4.328,5.6183,5.4802,4.1349,3.8305,3.4521,7.7925,8.4334,8.0679,19.522,75.6893,水层
1322.5625,100.1328,9.9825,29.5449,2.1691,81.3555,4.3397,5.579,5.494,4.1334,3.7663,3.3818,7.8795,8.543,8.1427,20.0326,75.7008,水层
1322.59375,100.0526,9.9476,29.6649,2.1707,81.7458,4.3387,5.565,5.4436,4.1313,3.6963,3.3128,8.0117,8.6381,8.203,20.4424,75.7497,水层
1322.625,99.8722,9.943,29.7609,2.1699,82.2151,4.2867,5.5387,5.278,4.1041,3.6277,3.2392,8.1612,8.7666,8.2943,20.938,75.7863,水层
1322.65625,99.6918,9.9332,29.845,2.1687,82.925,4.2349,5.5251,5.1123,4.0768,3.567,3.185,8.2982,8.9299,8.3712,21.2488,75.8354,水层
1322.6875,99.5714,9.9337,29.929,2.1683,83.6329,4.1701,5.4989,4.934,4.0492,3.4941,3.1199,8.4219,9.0627,8.4644,21.8846,75.8844,水层
1322.71875,99.4511,9.9239,30.073,2.1701,84.2645,4.1307,5.4979,4.7685,4.022,3.4357,3.0619,8.6109,9.1975,8.5428,22.4151,75.9596,水层
1322.75,99.3308,9.8739,30.181,2.1717,84.9743,4.104,5.4972,4.6539,3.9687,3.3593,3.0275,8.7554,9.2999,8.6379,23.0866,76.0085,水层
1322.78125,99.2906,9.8288,30.301,2.1743,86.08,4.1031,5.5091,4.5649,3.9544,3.3031,2.9934,8.9023,9.4382,8.7341,23.6462,76.0577,水层
1322.8125,99.2304,9.7687,30.349,2.1769,86.6324,4.1152,5.5462,4.4121,3.9015,3.2478,2.9708,9.0183,9.5081,8.7988,23.5563,76.0943,水层
1322.84375,99.1701,9.7186,30.4811,2.1771,87.3442,4.1272,5.5838,4.2977,3.8483,3.1815,2.9537,9.1697,9.5609,8.9462,22.8668,76.1306,水层
1322.875,99.1299,9.6584,30.5411,2.1781,88.2133,4.1516,5.6596,4.2216,3.7954,3.1398,2.9532,9.272,9.7031,9.0458,22.6126,76.1287,水层
