Depth,CAL,CGR,DRHO,DT,GR,ILD,ILM,LLD,LLS,MRES,MSFL,MTEM,NPHI,PEF,POTA,RHOB,SFLU,SGR,SP,THOR,TT1,TT2,TT3,TT4,URAN,result
1674.03125,8.6089,59.7766,0.0383,78.9657,114.6411,9.1533,8.7631,8.4494,9.4438,0.8987,33.9792,68.009,0.1542,3.3417,0.0247,2.5593,16.8745,106.9264,-45.9981,5.7785,510.4084,359.719,513.1749,371.2749,6.5194,差气层
1674.0625,8.6526,62.1376,0.0526,79.9864,117.0574,8.8428,8.2985,7.9136,9.0074,0.8987,41.0699,68.009,0.1452,3.4798,0.0253,2.563,14.4355,110.7709,-46.1915,6.0969,510.8246,365.7448,516.0091,374.4958,6.7174,差气层
1674.09375,8.7238,66.292,0.074,81.1471,120.0627,8.6365,7.9015,7.4932,8.4826,0.8987,48.4783,68.009,0.1366,3.6026,0.0278,2.5634,12.5752,114.1829,-46.8927,6.3908,511.6542,367.7553,517.6447,377.3212,6.7563,差气层
1674.125,8.8145,70.4465,0.1001,81.828,122.3606,8.3892,7.5372,6.9547,8.1204,0.8987,55.2757,68.009,0.1281,3.7254,0.0302,2.5637,11.0345,117.5948,-47.2042,6.6684,512.4867,376.1931,517.6711,380.5569,6.7807,差气层
1674.15625,8.9131,72.5253,0.1266,82.3691,125.4243,8.1637,7.2158,6.6335,7.7595,0.8956,59.3484,68.0177,0.1204,3.5901,0.0312,2.5592,10.2989,119.6742,-47.9062,6.8382,513.328,377.002,516.5167,382.1777,6.7811,差气层
1674.1875,8.996,72.5256,0.1498,82.6307,127.781,7.9732,6.8956,6.5024,7.4555,0.8956,63.1437,68.0177,0.1127,3.4548,0.0321,2.5546,9.7,121.753,-48.4522,6.8873,513.3604,380.6216,515.3563,377.4536,6.7815,差气层
1674.21875,9.0513,72.9418,0.1678,82.2528,129.0795,7.8582,6.4009,6.8566,7.8329,0.8956,58.6006,68.0177,0.1104,3.348,0.032,2.5459,9.0369,120.3894,-49.0766,6.7554,513.3987,382.6527,513.7914,376.2725,6.7339,差气层
1674.25,9.1067,72.9446,0.1806,81.0759,127.9667,7.8154,6.3661,7.8915,8.9496,0.8956,52.5337,68.0177,0.1081,3.2602,0.0313,2.5372,8.4652,116.7267,-49.7786,6.3701,513.434,383.8867,512.2383,371.5337,6.5628,差气层
1674.28125,9.1779,72.2992,0.1912,78.1211,124.7959,7.8295,6.2402,8.789,10.2068,0.8924,46.2448,67.9864,0.1077,3.181,0.0302,2.527,7.8437,111.9557,-50.324,5.8975,513.4782,383.5175,510.6823,367.9818,6.3762,差气层
1674.3125,9.2531,60.9182,0.1977,74.7665,119.037,7.9728,6.5416,10.665,11.6406,0.8924,42.6837,67.9864,0.1073,3.1363,0.0278,2.5169,7.2943,102.7391,-51.0257,5.3297,513.5106,381.5629,508.7306,364.4328,5.8614,差气层
