Depth,AC,CAL,CALI,GR,HAC,LLD,LLS,MINV,MNOR,MSFL,NPHI,PD,RHOB,RILD,RILM,RSFL,SP,result
805.46875,352.2806,8.3076,8.3076,81.6433,340.3918,6.0229,5.5756,3.5915,3.7912,3.3091,0.3035,184.64,2.1928,2.8757,2.7921,5.3104,66.5958,水层
805.5,353.293,8.2994,8.2994,81.4508,347.4642,6.1793,5.7625,3.8309,3.8909,4.6652,0.3024,185.3013,2.2039,2.9077,2.8389,5.5403,66.5893,水层
805.53125,351.9067,8.2994,8.2994,81.1309,356.9356,6.3864,5.923,3.8908,4.0106,5.1893,0.3003,186.1157,2.2121,2.9674,2.9026,5.8014,66.586,水层
805.5625,347.8688,8.2995,8.2995,81.0015,363.3767,6.5282,6.0769,4.0105,4.0105,5.8041,0.3003,187.3888,2.2201,3.0227,2.9513,6.131,66.5799,水层
805.59375,339.2872,8.2954,8.2954,80.6812,357.3193,6.6977,6.3386,4.0703,4.0303,6.5157,0.2994,189.0703,2.2307,3.0847,3.0008,6.4319,66.5734,水层
805.625,335.6277,8.2955,8.2955,80.6154,349.9995,6.9222,6.5152,4.1101,3.9303,7.6724,0.2984,193.6079,2.2355,3.1948,3.0231,6.7351,66.5734,水层
805.65625,330.3285,8.3039,8.3039,80.4239,341.4167,7.1413,6.7957,3.7703,3.5705,8.6926,0.2973,197.2277,2.2415,3.2424,3.0569,6.9239,66.609,水层
805.6875,327.1747,8.3165,8.3165,80.1014,332.9607,7.3133,6.9722,3.6104,3.5705,9.4055,0.2964,199.8785,2.2487,3.2907,3.114,7.0527,66.6058,水层
805.71875,323.3905,8.3333,8.3333,80.1014,321.728,7.5032,7.1532,3.4305,3.4306,9.3708,0.2947,202.8354,2.2533,3.309,3.114,7.184,66.5964,水层
805.75,322.3821,8.3627,8.3627,79.9099,314.2814,7.6557,7.3117,3.2706,3.1307,9.0986,0.2947,206.4555,2.2501,3.3337,3.143,7.3043,66.5964,水层
805.78125,320.6166,8.3794,8.3794,79.6527,309.9911,7.811,7.3516,2.8309,2.9108,8.7858,0.294,208.6985,2.2368,3.34,3.1665,7.3314,66.6353,水层
805.8125,318.9782,8.4087,8.4087,79.5874,305.9532,7.9406,7.3644,2.751,2.8309,8.4526,0.2933,211.0437,2.2226,3.3342,3.1666,7.1057,66.6292,水层
805.84375,318.3486,8.4338,8.4338,79.3933,300.6537,8.0427,7.2832,3.43,3.1304,8.0872,0.2927,213.3379,2.2064,3.316,3.1552,6.849,66.6655,水层
805.875,316.9634,8.4464,8.4464,79.3916,295.7325,8.176,7.0327,3.9092,3.6496,7.7662,0.2915,215.0709,2.1938,3.2918,3.1264,6.5411,66.6622,水层
805.90625,316.7126,8.4798,8.4798,79.1975,295.23,7.9972,6.7411,4.2286,4.0089,7.3491,0.2915,215.0698,2.181,3.2619,3.0809,6.2012,66.6593,水层
805.9375,316.0873,8.5175,8.5175,79.1953,303.0598,7.5817,6.5574,4.3683,4.2485,7.0185,0.291,211.549,2.166,3.2441,3.0417,5.8466,66.6503,水层
805.96875,316.0873,8.5384,8.5384,79.1926,310.2584,7.0958,6.3085,4.4681,4.568,6.5444,0.29,209.2013,2.1554,3.2205,3.0251,5.6147,66.6503,水层
806.0,315.9626,8.5635,8.5635,79.6931,322.6348,6.6046,6.0805,4.8075,4.8475,6.3896,0.2892,205.8332,2.1494,3.209,3.0197,5.4018,66.6446,水层
806.03125,315.965,8.5636,8.5636,80.3203,325.9185,6.136,5.7007,4.8873,4.9672,6.1585,0.2886,201.9547,2.1432,3.2091,3.031,5.0649,66.6356,水层
806.0625,316.2215,8.5637,8.5637,80.8229,333.3701,5.9579,5.7007,5.1468,5.1269,5.9688,0.2872,198.9435,2.1376,3.2211,3.0593,4.8729,66.6356,水层
806.09375,316.4748,8.5471,8.5471,81.6394,340.9482,5.669,5.6069,5.3065,5.1467,5.7319,0.2868,196.0852,2.1335,3.2392,3.0764,4.6367,66.6327,水层
