Depth,AC,CAL,DRHO,DT,GR,HAC,ILD,ILM,LLD,LLS,MSFL,NPHI,PD,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
1412.0625,267.751,8.884,0.056,79.555,83.943,286.744,8.586,8.505,9.938,9.682,8.588,0.196,150.502,4.307,2.403,10.251,-9.838,559.47,398.378,559.47,400.611,水层
1412.125,268.671,8.955,0.055,80.279,86.722,294.494,8.752,8.792,10.226,9.905,5.51,0.202,146.379,4.327,2.391,9.946,-10.239,557.434,396.923,557.434,398.574,水层
1412.1875,269.471,8.985,0.055,80.9,87.373,298.11,8.921,9.083,10.623,10.428,5.204,0.208,142.009,4.358,2.376,9.629,-10.642,555.397,395.467,555.397,398.574,水层
1412.25,266.338,8.903,0.056,81.417,86.107,298.39,9.093,9.374,11.541,11.362,5.106,0.214,135.272,4.338,2.368,9.538,-11.036,553.36,394.012,553.36,398.574,水层
1412.3125,261.39,8.853,0.057,82.244,83.601,296.142,9.538,10.101,12.448,12.297,5.677,0.224,129.856,4.293,2.363,10.005,-11.459,551.324,392.464,551.324,398.574,水层
1412.375,251.474,8.688,0.058,81.52,80.539,285.234,9.722,10.799,14.45,13.232,6.846,0.223,120.65,4.23,2.364,10.296,-11.855,551.324,392.464,551.324,398.574,水层
1412.4375,242.035,8.551,0.059,80.486,75.763,272.711,9.665,11.436,17.322,14.804,8.699,0.217,118.462,4.212,2.365,12.463,-12.256,553.36,392.464,553.36,398.574,水层
1412.5,237.12,8.392,0.058,79.6,73.885,260.558,9.485,11.769,20.193,16.6,14.898,0.206,113.505,4.214,2.37,15.394,-12.272,555.397,394.501,555.397,400.611,水层
1412.5625,235.519,8.307,0.058,78.436,70.18,247.252,9.305,11.996,22.526,18.623,21.63,0.195,111.873,4.232,2.373,18.976,-12.23,557.434,394.501,557.434,402.648,水层
1412.625,239.1,8.264,0.057,77.271,70.162,233.37,9.126,11.882,21.512,18.775,28.363,0.181,112.885,4.35,2.382,22.159,-12.07,559.47,394.501,559.47,402.648,水层
1412.6875,247.194,8.286,0.058,76.453,72.279,209.258,8.921,11.436,19.334,18.98,36.249,0.166,125.849,4.519,2.389,25.423,-11.829,563.544,394.501,563.544,402.648,水层
1412.75,254.556,8.426,0.06,75.419,75.458,200.834,8.707,10.903,17.156,16.547,51.057,0.153,139.31,4.685,2.397,28.617,-11.345,567.617,394.501,567.617,402.648,水层
1412.8125,262.109,8.595,0.064,75.729,80.384,203.543,8.458,10.296,15.395,13.611,29.605,0.146,156.603,4.785,2.402,27.267,-10.919,569.654,394.501,569.654,400.611,水层
1412.875,270.598,8.765,0.068,76.35,86.435,215.46,8.21,9.722,12.973,11.908,14.117,0.144,177.965,4.899,2.395,22.782,-10.49,571.69,394.501,571.69,400.611,水层
1412.9375,282.321,8.902,0.073,77.177,88.524,270.788,7.961,9.007,10.94,10.548,9.123,0.145,190.936,4.986,2.388,19.261,-10.048,573.727,394.501,573.727,402.648,水层
1413.0,285.495,9.037,0.077,79.583,92.655,295.259,7.713,8.344,8.907,9.188,6.956,0.149,202.634,5.047,2.376,16.33,-9.627,575.764,394.501,575.764,402.648,水层
1414.0,244.714,9.039,0.083,80.341,86.032,244.014,6.666,7.059,12.136,11.922,13.574,0.198,135.31,4.365,2.395,9.011,-6.744,566.599,396.538,566.599,401.629,水层
