Wellname,Depth,X,Y,GR,SP,CAL,AC,CNL,DEN,LLD,LLS,MSFL,lith
long291,1915.33,5143500.3,21613750.3,127.1875,-13.7812,9.875,245.7638,34.31,2.3242,6.5492,6.5567,31.4219,3
long291,1915.36125,5143500.3,21613750.3,125.5625,-13.7812,9.5391,249.5923,32.07,2.3723,6.5686,6.5858,31.375,3
long291,1915.3925,5143500.3,21613750.3,129.125,-13.7891,10.0859,252.9103,29.49,2.3746,6.2137,6.4481,23.4097,3
long291,1921.61125,5143500.3,21613750.3,120.9375,-13.0781,9.1641,279.9462,28.61,2.4545,6.81,7.6433,20.4062,3
long291,1921.6425,5143500.3,21613750.3,120.625,-13.2734,8.9688,274.4505,29.48,2.4344,6.6915,7.5084,12,3
long291,1921.67375,5143500.3,21613750.3,129.25,-13.2109,8.9453,269.0829,29.71,2.3982,6.7541,7.5797,9.1953,3
long291,1921.705,5143500.3,21613750.3,126,-13.5234,8.9688,266.7825,28.82,2.4103,7.6691,8.5868,8.525,3
long291,1921.73625,5143500.3,21613750.3,128.375,-13.375,8.9375,262.1817,27.95,2.4869,9.7037,10.6978,8.4297,3
long291,1921.7675,5143500.3,21613750.3,126.8125,-13.1562,8.875,256.5591,24.09,2.6076,10.7838,11.3138,8.5781,3
long291,1921.79875,5143500.3,21613750.3,126.875,-12.8828,8.8906,252.9802,22.67,2.6091,10.147,10.5648,8.2344,3
long291,1921.83,5143500.3,21613750.3,129.25,-12.7578,8.9219,249.9116,23.66,2.4817,9.3145,9.6743,7.7109,3
long291,1921.86125,5143500.3,21613750.3,127.4995,-12.7344,9.0623,247.738,26.72,2.3795,7.7571,8.0638,7.5586,3
long291,1921.8925,5143500.3,21613750.3,126.875,-12.7734,8.8672,245.3076,29.73,2.3533,6.6955,7.0077,10.9294,3
long291,1921.92375,5143500.3,21613750.3,127.1245,-12.5626,9.0234,243.645,29.81,2.3974,7.1928,7.3569,16.3619,3
long291,1921.955,5143500.3,21613750.3,126.4375,-12.7266,9.0234,242.365,30.7,2.4304,7.1104,7.3074,20.0938,3
long291,1921.98625,5143500.3,21613750.3,124.3125,-13.0469,8.9766,241.0846,31.46,2.3806,6.973,7.2162,13.2656,3
long291,1922.0175,5143500.3,21613750.3,124.25,-13.0156,9.0391,240.6991,31.28,2.3446,7.0802,7.3462,10.9922,3
long291,1922.04875,5143500.3,21613750.3,115.875,-13.0859,9.0781,240.8241,31.17,2.3649,6.6041,6.8246,10.2031,3
long291,1922.08,5143500.3,21613750.3,113.125,-13.0234,8.9609,240.9487,28.85,2.4643,6.4041,6.5258,10.0781,3
long291,1922.11125,5143500.3,21613750.3,111,-13.125,9.125,240.9464,30.11,2.4739,6.2732,6.3781,9.1663,3
long291,1922.1425,5143500.3,21613750.3,119.875,-13.0938,8.9375,241.1987,32.62,2.4336,5.7287,5.8991,8.9688,3
long291,1934.0175,5143500.3,21613750.3,107.123,-15.5624,8.9375,351.6509,15.21,2.5614,13.8921,14.0711,13.2656,7
long291,1934.04875,5143500.3,21613750.3,104.6875,-15.4688,8.9375,346.1563,15.49,2.5605,13.7198,13.7642,10.9922,7
long291,1934.08,5143500.3,21613750.3,110.5,-15.4609,8.9453,307.066,16.6,2.5488,13.0158,13.1077,10.2031,7
long291,1934.11125,5143500.3,21613750.3,116.5,-15.2656,8.9688,297.9967,18.19,2.5481,10.3852,10.2837,10.0781,7
long291,1934.1425,5143500.3,21613750.3,122.125,-15.2969,8.9688,285.7319,22.43,2.5359,8.0596,7.9618,9.1663,7
long291,1934.17375,5143500.3,21613750.3,128.375,-15.2969,8.9688,276.9149,26.06,2.4997,6.6375,6.738,8.9688,7
long291,1934.205,5143500.3,21613750.3,132.125,-15.3047,8.9766,272.4421,27.4,2.4773,6.3102,6.3861,9.9453,3
long291,1934.23625,5143500.3,21613750.3,138.75,-15.2734,8.9688,267.9689,24.91,2.4836,6.3597,6.3719,13.9766,3
long291,1934.2675,5143500.3,21613750.3,137.125,-15.3047,8.9375,262.857,24.17,2.504,7.1705,7.1226,18.3906,3
long291,1934.29875,5143500.3,21613750.3,138.875,-15.5,8.9375,256.34,23.1,2.5186,8.4332,8.3192,17.4531,3
long291,1934.33,5143500.3,21613750.3,135.375,-15.4062,8.9375,250.8445,23.17,2.5416,7.9547,7.8676,15.9021,3
long291,1934.36125,5143500.3,21613750.3,138.621,-15.0625,8.9375,245.9875,23.41,2.5423,7.2034,7.2538,13.3032,3
long291,1934.3925,5143500.3,21613750.3,133.625,-15.0938,8.9375,241.8979,25.12,2.514,6.9316,7.1186,14.6797,3
long291,1934.42375,5143500.3,21613750.3,131.6258,-15.0002,8.9375,236.9137,27.18,2.5052,5.8893,6.2169,14.7578,3
long291,1934.455,5143500.3,21613750.3,132.625,-15.25,8.9375,231.5463,28.61,2.5224,5.4556,5.7035,19.875,3
long291,1934.48625,5143500.3,21613750.3,139.625,-15.25,8.9375,229.3722,27.54,2.5216,5.6805,5.9366,22.0312,3
long291,1934.5175,5143500.3,21613750.3,141.375,-15.125,8.9375,232.3073,26.82,2.534,6.2302,6.5068,17.3906,3
long291,1934.54875,5143500.3,21613750.3,140.25,-15.1875,8.9375,234.8591,25.84,2.5334,7.0234,7.2905,14.4524,3
long291,1934.58,5143500.3,21613750.3,136.125,-15.0312,8.9375,237.1546,27.49,2.5337,7.9378,8.0228,13.3047,3
long291,1934.61125,5143500.3,21613750.3,137.375,-14.8438,8.9375,238.0465,27.76,2.503,7.5481,7.739,12.5859,3
long291,2055.0175,5143500.3,21613750.3,123.9375,-10.5156,9.5078,-99999,21.95,2.6019,8.1769,7.9365,16.625,1
long291,2055.04875,5143500.3,21613750.3,118.5,-10.3359,9.2422,-99999,21.9,2.6075,9.3065,8.9344,8.7656,1
long291,2055.08,5143500.3,21613750.3,107.75,-10.3125,8.7734,-99999,20.16,2.6059,11.6533,11.1231,5.0781,1
long291,2055.11125,5143500.3,21613750.3,100.1875,-10.4766,8.6484,-99999,17.17,2.6031,12.6789,12.0103,3.7148,1
long291,2055.1425,5143500.3,21613750.3,97.4375,-10.5859,8.75,-99999,14.35,2.6056,13.5815,12.6678,3.0684,1
long291,2055.17375,5143500.3,21613750.3,100.875,-10.625,9.0234,-99999,16.97,2.6216,12.0628,11.3591,2.8176,1
long291,2055.205,5143500.3,21613750.3,108.25,-10.2969,9.3828,-99999,20.12,2.504,9.3399,8.9042,2.7227,1
long291,2055.23625,5143500.3,21613750.3,113.3125,-10,9.3984,-99999,20.51,2.4452,7.9918,7.7157,2.8984,1
long291,2055.2675,5143500.3,21613750.3,116.25,-9.9141,9.8359,-99999,19.49,2.4449,7.5333,7.2113,3.2676,1
long291,2055.29875,5143500.3,21613750.3,117,-9.8594,10.4297,-99999,18.06,2.4946,7.5892,7.1552,3.625,1
long291,2055.33,5143500.3,21613750.3,120.9404,-9.8989,10.6415,-99999,17.79,2.4295,7.3713,6.8982,3.8418,1
long291,2055.36125,5143500.3,21613750.3,122.75,-10.1875,11.2188,-99999,20.27,2.3336,6.9173,6.485,3.9883,1
