wellname,Depth,AC,CALI,DFL,DRHO,DT,GR,HAC,HRID,HRIM,LLD,LLS,MSFL,NPHI,PD60,PE,RHOB,SP,lith
gu471,1841.85,249.6645,8.6805,4.5505,0.2377,83.8614,128.3796,256.67,4.323,4.5854,4.7058,4.6228,6.2556,0.2199,158.7133,3.5093,2.4685,-8.0339,11
gu471,1841.88125,249.9147,8.6571,4.8198,0.2678,82.95,125.3736,257.4247,4.5783,4.8322,5.1591,5.0094,5.7317,0.2144,167.6644,3.866,2.4985,-8.534,11
gu471,1841.9125,249.9118,8.6258,5.4006,0.2744,81.5543,119.8815,257.8034,4.9705,5.2172,5.8254,5.5954,5.8251,0.201,167.664,4.0568,2.536,-9.1107,11
gu471,1841.94375,250.4151,8.597,6.5945,0.2373,79.9984,112.4794,258.813,5.509,5.7573,6.8773,6.6264,6.5504,0.1823,166.2945,3.8959,2.5515,-9.6194,11
gu471,1841.975,250.5378,8.5839,8.3175,0.1985,78.5379,104.6237,259.8221,6.1263,6.3938,8.1003,7.9742,8.3064,0.1782,164.5207,3.6405,2.5656,-9.9143,11
gu471,1842.00625,250.5354,8.5823,10.1111,0.172,77.4496,98.8436,260.7051,6.6197,6.9217,9.0879,9.0169,11.2157,0.1827,162.544,3.4825,2.5647,-9.8758,11
gu471,1842.0375,250.2785,8.5877,10.7351,0.1684,77.1281,97.1866,261.9673,6.7349,7.0609,9.2123,9.1845,12.9902,0.1842,159.8089,3.4253,2.5619,-9.5136,11
gu471,1842.06875,250.2762,8.5975,9.5145,0.1944,77.7739,100.1679,262.7238,6.3912,6.7082,8.158,8.0911,15.6221,0.1889,155.9095,3.5379,2.5863,-8.9271,11
gu471,1842.1,250.0207,8.615,7.4181,0.2052,79.4234,106.218,263.6068,5.7801,6.0732,6.7904,6.69,16.8909,0.198,151.8078,3.5273,2.5977,-8.3042,11
gu471,1842.13125,249.7643,8.6303,5.9409,0.2008,81.4854,112.4081,264.2372,5.1616,5.4318,5.7616,5.6541,12.725,0.2064,147.0989,3.4269,2.5914,-7.8286,11
gu471,1842.1625,249.3823,8.644,4.8935,0.2005,83.1845,117.0629,265.1198,4.6858,4.9408,5.0778,4.8906,9.786,0.2184,134.9011,3.3946,2.5882,-7.5284,11
gu471,1842.19375,247.7341,8.6565,4.4699,0.1757,84.5813,119.8429,265.7502,4.3768,4.6186,4.5954,4.4967,7.3073,0.2316,127.4094,3.3688,2.5619,-7.3523,11
gu471,1842.225,246.4654,8.6642,4.2852,0.1384,85.6456,121.5039,265.8741,4.2066,4.44,4.2277,4.3218,6.7207,0.2362,121.0303,3.1826,2.5281,-7.2907,11
gu471,1842.25625,244.185,8.6723,4.2256,0.1367,85.9234,123.4129,260.1771,4.1469,4.375,4.2032,4.113,6.607,0.2177,114.1458,3.0621,2.5237,-7.3669,11
gu471,1842.2875,241.651,8.6702,4.4171,0.1545,85.3242,125.4988,247.1416,4.1868,4.416,4.6611,4.4925,6.625,0.2018,103.5673,3.1272,2.528,-7.5286,11
gu471,1842.31875,240.2573,8.6576,4.7651,0.167,84.36,126.1261,238.4078,4.3231,4.5568,5.2176,5.1735,6.6978,0.2138,98.6055,3.2897,2.5473,-7.6095,11
gu471,1842.35,237.5958,8.6396,5.344,0.1594,83.6297,124.4845,228.7887,4.5256,4.7627,5.4679,5.5046,6.5339,0.2186,95.7683,3.3285,2.5604,-7.619,11
gu471,1842.38125,236.202,8.6205,6.0124,0.168,83.1088,121.0965,221.9528,4.7108,4.9473,5.5175,5.5262,8.1332,0.2053,94.2481,3.2823,2.572,-7.6285,11
gu471,1842.4125,234.5538,8.6139,6.0941,0.2071,82.5969,117.7543,217.1418,4.7798,5.0135,5.6631,5.6755,11.0687,0.2028,92.3727,3.323,2.5956,-7.6046,11
gu471,1842.44375,233.6656,8.6134,5.8115,0.2246,82.6189,117.1665,212.4574,4.7142,4.9448,5.8285,5.7776,10.79,0.2061,91.0535,3.3538,2.5995,-7.4095,11
gu471,1842.475,232.65,8.6085,5.3789,0.2071,83.296,119.4484,207.0125,4.5857,4.8112,5.6416,5.6166,8.2511,0.2103,92.3672,3.3676,2.5653,-7.2761,11
gu471,1842.50625,232.2681,8.6046,5.1521,0.1984,83.8609,121.9132,204.9861,4.4651,4.6837,5.2954,5.2805,6.6732,0.2216,95.7042,3.3782,2.5248,-7.2333,11
gu471,1842.5375,231.7581,8.5998,5.079,0.2202,84.4091,122.7098,200.9339,4.3632,4.5736,5.103,5.232,5.1922,0.2419,102.2289,3.5067,2.5087,-7.2618,11
gu471,1842.56875,231.5026,8.6259,4.9594,0.2429,85.5078,121.3942,199.1602,4.2489,4.45,4.9495,5.1575,5.1672,0.2603,105.8691,3.6478,2.491,-7.2095,11
gu471,1842.6,231.4993,8.6614,4.7748,0.266,86.5416,118.6143,195.9941,4.0939,4.284,4.7289,4.9049,5.0588,0.258,109.5598,3.9192,2.4393,-7.2048,11
gu471,1842.63125,231.8765,8.6936,4.4073,0.2904,86.9409,115.9932,192.575,3.9127,4.0922,4.4653,4.5867,4.4293,0.2564,113.1498,4.4156,2.373,-7.1238,11
gu471,1842.6625,232.3797,8.7177,4.0321,0.3077,87.2156,114.6062,192.1917,3.7502,3.92,4.2945,4.2794,3.7486,0.2718,118.8143,4.8181,2.3211,-7.1191,11
gu471,1842.69375,234.4014,8.7095,3.8569,0.2855,87.7854,114.2675,195.9854,3.6449,3.808,4.1991,4.206,3.6615,0.2653,131.2081,4.522,2.251,-7.1716,11
gu471,1842.725,237.8144,8.7062,3.8065,0.2718,88.5906,114.8578,209.3952,3.6054,3.7671,4.0549,4.0716,4.1555,0.2469,141.7809,4.3169,2.323,-7.262,11
gu471,1842.75625,241.481,8.6931,3.8687,0.2835,89.0302,116.5611,217.3645,3.615,3.782,3.9712,3.9543,4.7102,0.2407,157.9675,4.3314,2.3919,-7.3238,11
gu471,1842.7875,245.6533,8.6718,3.9606,0.2801,88.6177,119.5948,224.7007,3.6517,3.8281,4.0333,4.1886,4.3655,0.2363,158.473,4.2948,2.473,-7.4811,11
gu471,1865.4125,247.8278,8.585,7.5553,0.1671,79.3952,106.6835,259.6506,5.7071,5.9928,6.7831,6.8146,9.7805,0.1904,119.8924,3.2791,2.5842,-7.4905,5
gu471,1865.44375,248.0786,8.5937,7.3555,0.146,79.2828,105.681,258.1291,5.7067,5.9966,6.9625,7.0033,10.6835,0.1887,118.5237,3.186,2.5619,-7.5091,5
gu471,1865.475,248.8345,8.6036,6.8243,0.1893,79.549,105.2424,255.9735,5.5613,5.8552,7.0089,6.8919,10.8655,0.1886,117.4087,3.3929,2.5997,-7.352,5
gu471,1865.50625,249.339,8.6074,6.3284,0.2501,80.4014,104.7229,251.6656,5.3461,5.6412,7.0209,6.9096,9.7237,0.1948,116.2431,3.6926,2.6501,-7.0524,5
gu471,1865.5375,249.9692,8.6063,5.9797,0.2374,81.5813,104.7146,247.8651,5.1025,5.3911,6.8177,6.6349,8.5042,0.207,114.52,3.6339,2.6207,-6.6949,5
gu471,1865.56875,250.8512,8.6025,5.5207,0.191,82.651,106.2497,244.6971,4.8365,5.1134,6.3114,6.2034,8.684,0.2145,113.5071,3.2485,2.5291,-6.438,5
gu471,1865.6,251.2292,8.5965,5.0002,0.2162,83.5031,109.6363,246.9725,4.569,4.8298,5.6258,5.6866,8.9267,0.2123,111.937,3.3649,2.4656,-6.3332,5
gu471,1865.63125,251.6066,8.5926,4.5667,0.2768,84.0948,114.3956,249.3759,4.3474,4.5916,5.0795,5.1698,8.4531,0.2163,110.3666,4.0158,2.4507,-6.2904,5
