wellname,Depth,GR,SP,CAL,AC,CNL,DEN,LLD,LLS,MSFL,lith
long291,1911.04875,132.75,-15.1562,9.3828,261.7246,30.02,2.5258,5.8253,5.594,15.0156,3
long291,1911.08,129.2504,-14.9998,9.4298,261.4679,30.07,2.5463,5.6759,5.45,18.375,3
long291,1911.11125,129.75,-14.7578,9.5391,260.9529,29.53,2.5848,5.6055,5.3378,24.7191,3
long291,1911.1425,129.8778,-14.8828,9.5079,260.8229,30.56,2.5672,5.4302,5.1931,32.125,3
long291,1911.17375,133.375,-14.8516,9.6328,260.6934,30.29,2.5474,5.238,5.0809,29.4062,3
long291,1911.205,132.2507,-14.9767,9.6952,260.4352,29.09,2.4892,5.4109,5.2514,34.4062,3
long291,1911.23625,133.125,-15.0703,9.5547,260.1757,29.37,2.4759,5.8282,5.7284,41.4062,3
long291,1911.2675,132.375,-15.2578,9.3359,259.7898,29.28,2.4947,7.0613,6.8604,30.2188,3
long291,1911.29875,132.625,-15.3203,9.3281,259.5321,30.74,2.4749,7.9374,7.5732,26.3125,3
long291,1911.33,134.25,-15.2578,9.1953,259.4017,29.89,2.4699,7.9004,7.4914,25.8605,3
long291,1911.36125,140.75,-15.2891,9.3984,259.0162,29.56,2.4435,7.5,7.1952,32.5625,3
long291,1911.3925,144.25,-15.0703,10.0156,258.374,28.02,2.4429,6.7872,6.6514,32.5938,3
long291,1911.42375,145.125,-15.0078,10.2656,258.244,29.64,2.486,5.9359,5.849,28.5312,3
long291,1911.455,145,-14.8203,10.2344,257.8586,30.88,2.5404,5.7978,5.6957,25.6094,3
long291,1911.48625,146.6202,-14.6328,10.1091,257.345,32.76,2.5344,6.3728,6.1747,20.25,3
long291,1911.5175,140.625,-14.5703,9.7109,255.8087,30.97,2.5282,7.5866,7.3149,17.9586,3
long291,1911.54875,131.1236,-14.5077,9.4297,253.8907,27.99,2.5596,8.3956,8.0791,16.9844,3
long291,1911.58,129.375,-14.4141,9.4609,250.3114,25.07,2.5655,8.811,8.6484,21.1094,3
long291,1913.61125,114.125,-14.8594,8.9375,272.099,26.8,2.5846,6.9365,6.6654,10.5,3
long291,1913.6425,114.1875,-15.0078,8.7812,265.9657,24.66,2.5901,6.948,6.7467,11.5625,3
long291,1913.67375,112.0625,-14.9844,8.7188,259.0661,24.69,2.5505,7.0492,6.8299,10.2969,3
long291,1913.705,109.9375,-14.8281,8.6797,253.4437,27.53,2.5295,6.8924,6.701,10.2969,3
long291,1913.73625,106.3125,-14.7344,8.8047,247.8213,28.04,2.5216,6.8132,6.563,10.8828,3
long291,1913.7675,106.9375,-14.5781,8.7734,241.943,26.85,2.5163,6.7782,6.4767,14.0237,3
long291,1913.79875,113,-14.5156,8.7031,236.3201,25.92,2.491,6.2819,6.0612,16.5781,3
long291,1913.83,119.1875,-14.5234,8.6406,233.1253,25.78,2.4609,5.8067,5.6387,16,3
long291,1913.86125,118.5596,-14.3047,8.8361,226.6089,25.98,2.4004,6.0557,5.8534,15.2891,3
long291,1913.8925,115,-14.2734,9.0781,219.1979,25.62,2.3992,6.6825,6.3779,16.9688,3
long291,1913.92375,105.9965,-13.9686,9.1724,214.8527,23.31,2.3743,7.2337,6.7683,20.7344,3
long291,1913.955,101.6875,-13.6875,9.7812,212.1678,21.64,2.3166,7.4949,7.0623,30.6481,3
long291,1913.98625,100.9446,-13.5002,10.0001,209.9939,23.33,2.3003,6.6289,6.4376,37.39,3
long291,1914.0175,109.8125,-13.7188,10.1875,208.3303,25.11,2.3715,5.4825,5.4419,40.5938,3
long291,1914.04875,118.0625,-13.75,10.3516,207.3058,27.07,2.4505,5.4805,5.3945,39.0938,3
long291,1914.08,124,-13.9375,10.5234,206.5372,25.91,2.4672,5.2634,5.1341,40.3125,3
long291,1914.11125,123.625,-14.2188,10.8281,205.64,26.68,2.4754,5.5177,5.2887,52.1875,3
long291,1914.1425,125,-14.2812,11.2188,206.5309,24.88,2.4302,5.2365,4.9688,45.9688,3
long291,1914.17375,127.0625,-14.5312,11.7188,209.4657,26.01,2.3525,4.7048,4.5402,28.3704,3
long291,1914.205,133.625,-14.5312,10.7031,213.2941,27.59,2.3592,4.7889,4.5921,19.8438,3
long291,1914.23625,130.625,-14.5625,9.9062,215.2081,28.55,2.3788,5.0623,4.8659,16.0625,3
long291,1914.2675,126.4365,-14.4999,10.1483,218.9079,28.91,2.4581,5.7093,5.4674,16.9531,3
long291,1914.29875,125.25,-14.3438,9.9766,220.4392,28.21,2.508,6.3078,6.0846,17.625,3
long291,1914.33,124.3736,-14.3359,9.9608,222.7354,29.58,2.559,6.4727,6.2607,17.2188,3
long291,1914.36125,122.5625,-14.3047,9.8203,225.2862,29.08,2.5388,6.4002,6.2619,13.54,3
long291,1914.3925,118.7465,-14.2424,9.1253,227.072,29.85,2.5392,6.4581,6.3485,14.6457,3
long291,1914.42375,114.375,-14.4609,9.5156,230.2605,30.59,2.5115,6.5543,6.4016,19.7812,3
long291,1914.455,116.9375,-14.5,9.3047,231.664,31.43,2.4802,6.3963,6.269,24.6094,3
long291,1914.48625,122.3125,-14.4688,9.6094,234.0885,31.22,2.4583,6.334,6.1835,15.4609,3
long291,1914.5175,126.625,-14.4141,9.8906,238.0446,29.69,2.4552,6.0437,5.9064,11.8047,3
long291,1914.54875,126.0625,-14.6094,9.6094,240.979,29.93,2.4582,6.1107,5.9415,10.4453,3
long291,1914.58,117.6875,-14.7969,9.6016,242.5098,29.73,2.4367,6.2953,6.0449,10.3674,3
long291,1914.61125,117.125,-14.8047,9.4688,244.8052,27.78,2.4675,6.3693,6.1154,9.3203,3
long291,1914.6425,119.3125,-14.7734,9.8828,246.3356,26.1,2.5293,6.5467,6.3076,9.6016,3
long291,1914.67375,122.0596,-14.9297,9.7266,248.8859,27.25,2.4871,6.3944,6.2533,11.3125,3
long291,1914.705,118.5,-14.9297,9.7812,249.7786,28.98,2.468,5.9533,5.8399,18.0625,3
long291,1914.73625,111.4352,-14.7656,9.5937,251.1808,29.79,2.4723,5.7111,5.6264,33.0938,3
long291,1914.7675,108.5625,-14.7344,9.5078,252.1998,29.05,2.5073,5.6177,5.569,75.9595,3
long291,1914.79875,115.0625,-14.5469,9.4688,253.0911,29.19,2.5484,5.8766,5.8326,93.084,3
long291,1914.83,119.4375,-14.4766,9.3594,253.7261,28.17,2.5625,6.4353,6.3427,53.5312,3
long291,1914.86125,120.5625,-14.3828,9.0234,253.852,26.86,2.5847,7.5866,7.3935,29.5625,3
long291,1914.8925,112.8125,-14.4062,9.0234,254.1047,23.61,2.6091,7.9938,7.7904,18.9375,3
long291,1914.92375,111.375,-14.4688,9.0469,253.7188,24.72,2.589,7.9802,7.7944,13.7266,3
long291,1914.955,116.0625,-14.5625,9.1562,253.3329,24.7,2.5536,8.1673,7.9574,11.6016,3
long291,1914.98625,133.75,-14.625,9.0312,251.2858,25.78,2.54,6.7843,6.7519,10.5806,3
long291,1915.0175,143.625,-14.4922,9.375,250.134,24.38,2.4806,6.4359,6.3617,12.7188,3
long291,1915.04875,139.875,-14.5234,10.0781,249.1095,25.74,2.3687,6.1145,6.1232,18.5469,3
long291,1915.08,128.7394,-14.4922,10.3751,247.191,27.6,2.302,5.9707,6.0068,28.2344,3
long291,1915.11125,115.5,-14.4297,10.5625,244.2507,28.4,2.2595,6.3638,6.3394,22.9844,3
long291,1915.1425,114.0588,-14.4921,10.195,242.3322,28.83,2.2114,6.4274,6.5027,14.6797,3
long291,1915.17375,109.4375,-14.3359,9.8047,240.1573,29.81,2.1643,6.4925,6.5665,10.8672,3
long291,1915.205,116.5,-14.1719,9.6328,239.0033,30.95,2.2078,6.4499,6.4814,10.0957,3
long291,1915.23625,120.625,-14.0547,9.8984,239.2582,31.28,2.268,6.0476,6.1529,12.0234,3
long291,1915.2675,123.875,-14.0547,9.9922,241.4263,32.07,2.3224,6.0003,6.1059,16.9375,3
long291,1915.29875,122.6875,-13.8047,10.2188,243.5953,34.4,2.3397,6.4272,6.4654,25.4219,3
long291,1915.33,127.1875,-13.7812,9.875,245.7638,34.31,2.3242,6.5492,6.5567,31.4219,3
long291,1915.36125,125.5625,-13.7812,9.5391,249.5923,32.07,2.3723,6.5686,6.5858,31.375,3
long291,1915.3925,129.125,-13.7891,10.0859,252.9103,29.49,2.3746,6.2137,6.4481,23.4097,3
long291,1921.61125,120.9375,-13.0781,9.1641,279.9462,28.61,2.4545,6.81,7.6433,20.4062,3
long291,1921.6425,120.625,-13.2734,8.9688,274.4505,29.48,2.4344,6.6915,7.5084,12,3
long291,1921.67375,129.25,-13.2109,8.9453,269.0829,29.71,2.3982,6.7541,7.5797,9.1953,3
long291,1921.705,126,-13.5234,8.9688,266.7825,28.82,2.4103,7.6691,8.5868,8.525,3
long291,1921.73625,128.375,-13.375,8.9375,262.1817,27.95,2.4869,9.7037,10.6978,8.4297,3
