Depth,AC,CALS,DRHO,DT,GR,HAC,ILD,ILM,LLD,LLS,MRES,MSFL,MTEM,NPHI,PD60,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
945.875,352.7934,-99999.0,-99999.0,103.2243,-99999.0,348.0788,3.6701,3.6882,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2.8628,-99999.0,707.6731,494.508,713.7019,504.9359,水层
945.90625,352.7874,-99999.0,-99999.0,97.446,-99999.0,347.3063,3.8795,3.9932,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,3.9416,-99999.0,698.9944,475.7814,706.4376,486.7218,水层
945.9375,352.6526,-99999.0,-99999.0,94.9418,-99999.0,346.7888,4.1221,4.1833,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,4.8908,-99999.0,685.6282,455.5491,696.397,463.4561,水层
945.96875,352.5179,-99999.0,-99999.0,94.6615,-99999.0,347.0347,4.4254,4.4058,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,5.1924,-99999.0,669.6237,443.0619,680.3267,449.724,水层
946.0,352.5069,-99999.0,-99999.0,95.1825,-99999.0,348.048,4.7199,4.6226,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,5.1801,-99999.0,652.6278,438.138,662.6278,445.213,水层
946.03125,352.5009,-99999.0,-99999.0,95.4941,-99999.0,349.4385,4.8733,4.6926,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,5.1805,-99999.0,642.2742,436.0248,647.7234,443.7624,水层
946.0625,352.4948,-99999.0,-99999.0,95.8527,-99999.0,350.8329,4.8633,4.625,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,4.994,-99999.0,643.9039,437.6146,645.6025,443.5,水层
946.09375,352.4875,-99999.0,-99999.0,96.7451,-99999.0,351.4637,4.7688,4.4953,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,4.6901,-99999.0,644.0449,438.2612,647.6517,443.5,水层
946.125,352.2241,-99999.0,-99999.0,97.393,-99999.0,352.8581,4.632,4.357,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,4.294,-99999.0,639.4127,444.6855,643.1082,449.0441,水层
946.15625,352.0905,-99999.0,-99999.0,98.1734,-99999.0,354.1237,4.4867,4.222,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,4.0036,-99999.0,636.8475,448.5763,641.1525,453.9576,水层
946.1875,351.446,-99999.0,-99999.0,-99999.0,-99999.0,354.5009,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,水层
946.21875,350.544,-99999.0,-99999.0,-99999.0,-99999.0,355.5129,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,水层
946.25,349.8994,8.9141,0.0254,103.9666,78.875,356.3961,7.2491,7.6591,10.0404,9.3638,1.2773,11.3125,49.6875,0.2974,118.6786,2.2272,2.1807,9.4797,-44.3438,654.7335,449.7832,661.4667,461.95,水层
946.28125,348.7439,8.9375,0.0244,102.4712,76.8125,356.772,6.8731,7.1974,9.6156,8.94,1.2754,11.8119,49.6875,0.302,118.6793,2.3064,2.1845,8.6634,-43.7188,662.0414,445.8806,666.9077,459.0637,水层
946.3125,347.9731,8.9375,0.0283,100.2037,74.625,357.1467,6.1904,6.4939,9.0404,8.4079,1.2744,12.2422,49.6875,0.3009,119.2429,2.6056,2.1931,7.8513,-42.8125,680.3166,441.2256,684.8548,453.6728,水层
946.34375,347.3297,8.9453,0.0534,97.5468,75.1875,357.3939,5.3878,5.544,8.7498,7.9621,1.2744,12.5,49.6562,0.2837,119.7552,3.1773,2.246,6.9005,-41.875,694.2944,449.6594,701.6196,460.0919,水层
946.375,346.5577,9.0391,0.0739,97.591,79.6875,357.3849,4.6419,4.4881,7.4973,6.6143,1.2754,11.9141,49.6875,0.2812,120.5746,3.6197,2.313,5.4537,-40.4375,710.7649,466.1134,713.9007,476.0456,水层
946.40625,345.7845,9.1875,0.0864,104.1453,94.8125,356.8674,4.0593,3.653,5.9206,5.0512,1.2754,11.8984,49.6562,0.3107,121.7522,3.2709,2.3491,3.5603,-37.5625,724.519,485.1669,728.4509,494.5988,水层
946.4375,345.6497,9.2266,0.0779,112.3519,112.8125,355.9662,3.6134,3.146,4.3911,3.8033,1.2744,11.2266,49.6562,0.3608,123.1857,2.967,2.3448,2.4862,-32.7812,742.5544,503.3078,745.6436,511.7599,水层
946.46875,345.3875,9.1484,0.0617,122.0592,123.9375,354.0454,3.2753,2.8592,3.2441,2.8328,1.2725,10.6797,49.6875,0.407,124.2096,2.8306,2.3141,2.0495,-28.6094,756.3954,525.2708,757.2399,530.4774,水层
946.5,345.1254,9.1406,0.0468,130.4446,124.8125,352.6357,3.0118,2.6598,2.7188,2.3596,1.2744,10.2344,49.6875,0.4237,126.6155,2.7337,2.2843,1.9733,-26.5469,760.8947,554.487,764.0328,561.4015,水层
