Depth,AC,CAL,CNC,CORR,DEN,GR,HAC,RD,RFOC,RILD,RILM,RMLL,RS,SP,result
1935.2292,64.0664,8.8073,6.0272,0.0393,2.553,66.7441,209.8797,18.5908,13.8705,15.188,11.3532,14.6647,15.6829,-38.9727,干层
1935.2605,64.4757,8.808,5.9862,0.04,2.55,68.0537,208.1061,17.3605,12.7882,15.319,11.3152,13.2794,14.7629,-38.9804,干层
1935.2918,64.8992,8.8083,5.9553,0.0403,2.5477,69.438,207.4913,16.1782,11.7734,15.4399,11.2893,12.0056,13.8809,-38.9843,干层
1935.3231,65.372,8.8093,5.9592,0.0407,2.547,71.0905,208.6102,15.161,10.9929,15.525,11.3064,11.1191,13.1285,-38.9772,干层
1935.3544,65.8837,8.8107,5.9919,0.04,2.547,72.9578,211.1885,14.2903,10.4159,15.578,11.36,10.5661,12.4915,-38.9606,干层
1935.3857,66.396,8.8123,6.0347,0.04,2.5473,74.8194,215.1637,13.4465,9.8659,15.6182,11.4167,10.0532,11.8733,-38.9431,干层
1935.417,66.9015,8.813,6.1386,0.039,2.5494,76.592,219.9268,12.7814,9.4914,15.5816,11.4924,9.7923,11.3829,-38.919,干层
1935.4483,67.4005,8.8133,6.3209,0.036,2.5534,78.259,224.563,12.3431,9.3418,15.4462,11.5924,9.8543,11.0542,-38.887,干层
1935.4796,67.9015,8.8143,6.5043,0.0333,2.5574,79.9329,228.6486,11.9024,9.1919,15.3101,11.6931,9.9169,10.725,-38.8545,干层
1935.5109,68.3529,8.8147,6.7346,0.0299,2.5624,81.1347,231.9422,11.6004,9.1694,15.0996,11.7753,10.1572,10.4905,-38.8194,干层
1935.5422,68.7163,8.814,7.0569,0.0242,2.5698,81.4626,234.4384,11.5552,9.3869,14.7463,11.8229,10.7324,10.4316,-38.7799,干层
1935.5735,69.0779,8.8136,7.3782,0.0192,2.5778,81.789,236.5165,11.5102,9.6033,14.3942,11.8709,11.3054,10.3736,-38.7403,干层
1935.6048,69.3557,8.813,7.7128,0.0142,2.5862,81.5929,238.0824,11.5798,9.9239,14.0039,11.8761,11.9816,10.3922,-38.7011,干层
1935.6361,69.4574,8.8123,8.0704,0.0096,2.5956,80.3134,239.1077,11.8863,10.4555,13.539,11.7927,12.8639,10.569,-38.6625,干层
1935.6674,69.5208,8.8106,8.434,0.0052,2.6056,78.7958,239.9194,12.2443,11.0335,13.0577,11.6907,13.7919,10.78,-38.6245,干层
1935.6987,69.5041,8.8096,8.778,0.0013,2.6156,77.0029,240.9822,12.7129,11.6626,12.5705,11.5549,14.7034,11.0601,-38.5878,干层
1935.73,69.2896,8.8083,9.0707,-7.0E-4,2.6256,74.5549,242.6799,13.4479,12.4086,12.0767,11.3376,15.5617,11.5064,-38.5549,干层
1935.7613,68.9784,8.8063,9.3407,-0.0024,2.6356,71.7751,245.09,14.3159,13.2147,11.5757,11.08,16.399,12.0358,-38.5237,干层
1935.7926,68.6437,8.8046,9.5883,-0.003,2.6453,69.0373,247.6954,15.2689,13.997,11.0825,10.8098,17.1512,12.6154,-38.4938,干层
1935.8239,68.2283,8.804,9.7663,-0.003,2.6532,66.4015,249.0679,16.5105,14.7118,10.6083,10.4934,17.6382,13.3628,-38.4676,干层
1935.8552,67.7454,8.8036,9.8888,-0.0026,2.6596,63.8386,247.8249,17.9902,15.374,10.1475,10.138,17.9119,14.2496,-38.4442,干层
1935.8865,67.2681,8.803,9.9961,-0.002,2.6658,61.3976,243.1888,19.4734,15.9966,9.6936,9.7818,18.211,15.1395,-38.4206,干层
1935.9178,66.8115,8.8045,10.0191,-0.0027,2.6694,59.5939,236.0056,21.0165,16.4107,9.2684,9.41,18.6668,16.0675,-38.3975,干层
1935.9491,66.3842,8.8085,9.9414,-0.0051,2.6704,58.5665,227.2954,22.6185,16.5717,8.8814,9.022,19.3048,17.0338,-38.3748,干层
1935.9804,65.9565,8.8125,9.8641,-0.0077,2.671,57.5389,218.7453,24.2201,16.7327,8.4944,8.6336,19.9428,18.0005,-38.3525,干层
1936.0117,65.5905,8.818,9.7813,-0.012,2.6684,57.2001,211.9733,25.173,16.6195,8.1426,8.2536,20.4561,18.5851,-38.3241,干层
1936.043,65.3309,8.826,9.6912,-0.02,2.6614,58.0191,208.4346,25.029,16.0479,7.854,7.8926,20.7547,18.5238,-38.2868,干层
1936.0743,65.0709,8.834,9.6009,-0.028,2.6543,58.8413,207.9767,24.8844,15.4746,7.5645,7.5298,21.0543,18.4619,-38.249,干层
1936.1056,64.9146,8.8424,9.5154,-0.0364,2.6455,60.0991,210.255,24.1228,14.7233,7.3035,7.1894,20.4704,17.9701,-38.2029,干层
1936.1369,64.9523,8.851,9.439,-0.0458,2.6327,62.1852,214.5434,22.1942,13.6316,7.0954,6.8897,18.2185,16.6641,-38.1392,干层
1936.1682,65.033,8.8594,9.3643,-0.0558,2.6186,64.4594,219.6377,20.0041,12.4616,6.8972,6.5976,15.5943,15.1753,-38.071,干层
1936.1995,65.238,8.8665,9.3172,-0.0635,2.6039,67.0378,223.7131,17.8912,11.3098,6.7145,6.328,13.1105,13.731,-37.9934,干层
