Depth,CALS,DRHO,DT,GR,ILD,ILM,LLD,LLS,MSFL,NPHI,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
1249.442,9.6641,0.0128,90.1342,96.1875,5.4316,5.363,6.1423,5.5252,186.0,0.2768,3.1504,2.4795,5.995,-58.375,588.0,412.75,578.5,407.0,水层
1249.4928,10.3906,0.0124,90.1158,98.9375,5.6099,5.3002,5.8016,5.1733,140.125,0.2956,3.1016,2.4746,5.3326,-57.9375,584.5,408.25,576.0,400.25,水层
1249.5436,10.0228,0.0114,89.3864,99.4995,5.6883,5.3827,5.6025,5.0046,103.0,0.2997,3.1426,2.4583,4.7224,-58.1257,585.9992,412.75,578.9948,404.2506,水层
1249.5944,9.2188,0.0055,88.7176,98.8125,5.8009,5.5727,5.5996,5.0177,81.9375,0.2969,3.1816,2.4488,4.6599,-58.9375,585.0,412.75,572.5,405.0,水层
1249.6452,9.3125,0.0034,88.3357,97.8125,5.7801,5.7166,6.278,5.4899,64.25,0.28,2.9705,2.4623,4.8888,-59.375,589.9984,407.4984,578.0008,400.2478,水层
1249.696,9.2188,7.0E-4,88.2279,96.0625,5.8417,5.9616,7.0278,6.0,45.6385,0.2602,2.7285,2.4785,5.5195,-59.5,588.0,405.5,579.0,397.5,水层
1249.7468,9.0078,-0.013,87.9525,93.3125,6.0405,6.2285,7.6947,6.4977,34.5625,0.257,2.6953,2.4665,6.0989,-59.4375,585.5,406.0,575.5,400.75,水层
1249.7976,8.9062,-0.0131,87.7943,90.875,6.1904,6.3038,7.9844,6.681,26.4531,0.2477,2.7754,2.4669,6.6922,-59.375,586.0,403.5,576.0,395.5,水层
1249.8484,8.7188,-0.0077,88.4091,94.25,6.4788,6.3925,7.8427,6.6547,22.2656,0.2419,2.8027,2.4705,7.0221,-59.125,589.0,404.0,580.0,396.75,水层
1249.8992,8.5469,-0.0056,89.4036,99.9375,6.7718,6.67,7.688,6.6026,19.7031,0.2487,2.6602,2.4686,6.7679,-59.4375,584.5,406.25,577.0,399.5,水层
1249.95,8.6016,-0.0094,90.0283,98.9375,7.0399,7.0333,7.8051,6.8147,18.8594,0.2493,2.4531,2.4428,6.4332,-60.3125,584.0,406.0,578.5,400.0,水层
1250.0008,8.5469,-0.0094,89.3611,89.875,7.0642,7.2126,8.493,7.2621,19.1562,0.2549,2.4316,2.423,6.9006,-61.0,584.0,405.5,577.5,401.0,水层
1250.0516,8.5391,-0.0093,88.9443,78.5,7.0508,7.3442,9.4147,7.823,19.4836,0.2405,2.5703,2.4252,7.8512,-60.6875,584.0,406.0,578.0,402.75,水层
1250.1024,8.5391,-0.0044,88.1142,73.875,6.9462,7.1486,9.6028,7.9332,19.1719,0.2338,2.8047,2.4396,8.8497,-60.25,585.0,407.5,578.5,402.75,水层
1250.1532,8.5078,1.0E-4,88.5015,79.625,6.9219,6.7913,8.7777,7.3653,18.9844,0.2218,2.9883,2.4602,8.438,-59.9375,586.0,408.0,580.0,403.5,水层
1250.204,8.7188,0.001,89.6264,89.2537,6.8297,6.6319,7.8717,6.7781,18.8125,0.2298,3.0898,2.4636,7.071,-59.9376,589.5004,407.0,581.0016,402.7494,水层
1250.2548,8.6641,0.002,90.0825,93.8125,6.8285,6.6319,7.3723,6.3421,20.1719,0.2412,3.1523,2.4618,6.0557,-60.125,590.0,407.0,583.0,402.0,水层
1250.3056,9.0547,-4.0E-4,90.4781,93.375,6.8058,6.6912,7.1556,6.2055,21.3125,0.2703,2.9648,2.4564,6.1304,-59.5,588.5,409.0014,580.4996,404.2514,水层
1250.3564,9.0469,-0.0054,90.5218,93.8125,6.7252,6.6277,7.5076,6.4134,21.9984,0.2767,2.9922,2.4434,6.553,-59.5,588.5,410.75,580.0,406.0,水层
1250.4072,8.7656,-0.0097,90.3025,93.1875,6.4989,6.5365,7.7754,6.6233,21.0156,0.286,2.7441,2.4509,6.8142,-59.5,591.0,410.75,583.5,406.0,水层
1250.458,8.6172,-0.0077,90.2029,95.4375,6.4121,6.4677,7.778,6.6506,19.9844,0.2701,2.9375,2.4449,6.7148,-59.4375,594.0,410.25,586.0,405.5,水层
1250.5088,8.75,-0.0055,90.3903,95.5625,6.4267,6.3964,7.5592,6.5419,19.7656,0.2611,2.9082,2.4619,6.6699,-59.375,594.0,410.75,586.5,405.0,水层
1250.5596,9.0078,-0.0053,90.5488,97.5625,6.3833,6.2735,7.3297,6.3752,19.7656,0.2643,3.1191,2.4654,6.4961,-59.0625,595.0,412.0,586.5,406.25,水层
1250.6104,9.3203,-0.0094,90.8659,96.625,6.3361,6.2397,7.2453,6.302,19.6094,0.2681,3.1719,2.4721,6.2518,-58.8125,596.0,412.25,588.0,406.75,水层
1250.6612,9.1016,-0.0093,91.3713,91.1875,6.3184,6.21,7.0605,6.1675,18.625,0.2895,3.1035,2.471,6.3178,-58.375,596.0,412.0,588.5,406.0,水层
1250.712,9.2812,-0.0117,91.4997,93.75,6.2285,6.1843,6.8929,6.029,16.8948,0.2851,3.1523,2.4596,6.3045,-58.5625,597.5,414.25,589.0,408.0,水层
1250.7628,9.25,-0.0128,91.4684,94.6875,6.2343,6.1047,6.8291,5.9992,15.0078,0.3016,2.9102,2.4666,6.2,-59.125,597.5,414.75,590.0,409.5,水层
1250.8136,9.3594,-0.0175,91.5614,101.5,6.2491,6.0551,6.7838,5.9746,13.7578,0.2907,2.9883,2.4622,5.983,-58.9375,598.5,415.5,590.0,410.0,水层
1250.8644,9.4296,-0.0089,91.4528,104.5641,6.1148,6.041,6.6298,5.928,13.5391,0.2985,2.8906,2.4729,5.9005,-58.6871,598.0012,416.0002,590.5012,410.7502,水层
1250.9152,9.2969,-0.004,90.9457,106.625,6.2108,6.0656,6.8012,6.1292,13.9453,0.2822,2.832,2.4708,6.007,-58.25,599.5,416.25,592.0,411.0,水层
1250.966,9.25,-0.0053,90.5842,105.5625,6.0851,6.1047,7.0409,6.3303,13.75,0.2862,2.668,2.4732,6.2195,-58.125,598.5024,416.249,591.5004,410.25,水层
1251.0168,9.3438,-0.002,90.7472,101.1875,6.0819,6.1011,6.8986,6.251,12.768,0.2813,2.6426,2.4851,6.4961,-57.8125,601.5,415.0,592.0,410.25,水层
1251.0676,9.4219,0.0043,90.7,94.0625,6.1542,5.9719,6.9447,6.278,12.5234,0.2983,2.709,2.5033,6.6109,-57.625,601.5,415.0,593.0,410.25,水层
1251.1184,9.1094,-4.0E-4,91.2874,95.5,5.8656,6.0271,6.8312,6.1506,13.3281,0.3023,2.6504,2.4964,6.5244,-58.25,599.5,418.0,592.5,411.0,水层
1251.1692,8.7812,-5.0E-4,92.0817,98.9375,5.6019,5.8578,6.8687,6.0363,15.3125,0.308,2.7129,2.4905,6.3513,-58.1875,607.0,416.0,596.0,412.0,水层
1251.22,9.2031,0.0025,91.8276,104.625,5.2797,5.453,6.7364,5.8721,16.8125,0.2929,2.7168,2.4909,6.3379,-57.8125,615.0,418.25,604.0,412.0,水层
1251.2708,9.5625,0.0011,94.4328,107.6875,5.0197,5.0528,5.8643,5.1378,17.9531,0.2898,2.9414,2.4859,5.7919,-57.4375,615.5,422.25,608.0,417.5,水层
1251.3216,9.6875,0.0044,96.4787,109.0,4.9456,4.594,4.9167,4.3128,18.5312,0.317,2.9473,2.4935,5.0534,-57.625,616.0,429.5,608.5,424.75,水层
1251.3724,9.6016,0.0023,98.1449,117.125,4.9153,4.3691,4.3926,3.9266,18.8118,0.3284,3.127,2.4841,4.1551,-58.0625,613.0,433.0,607.0,428.25,水层
1251.4232,9.6406,-1.0E-4,97.8568,109.125,5.0887,4.5357,4.1302,3.8476,18.7344,0.3353,3.041,2.4746,3.3316,-57.8125,598.0,434.0,593.5,430.0,水层
1251.474,9.7734,-0.002,93.4367,100.25,5.2889,4.9897,4.7584,4.4306,18.8125,0.3065,3.1484,2.4657,3.2733,-57.75,594.0,426.0,586.0,422.75,水层
1251.5248,9.1948,8.0E-4,86.5922,84.4346,5.4416,5.6793,6.7297,6.1637,18.8594,0.289,3.2188,2.4802,4.5593,-58.2504,593.9968,411.9968,587.9952,413.991,水层
1251.5756,8.5703,-3.0E-4,82.0371,80.875,5.424,6.1047,9.9729,8.5701,18.5938,0.2461,3.2207,2.4961,7.4504,-58.6875,590.0,408.0,582.0,402.75,水层
1251.6264,8.5859,0.0054,81.0581,80.3125,5.6337,6.177,10.5595,8.9761,18.2969,0.21,3.0819,2.5232,12.3572,-58.5,589.4972,403.992,581.9972,401.4908,水层
1251.6772,8.9531,-4.0E-4,83.5395,82.25,6.2008,6.2924,9.2252,8.1925,16.9252,0.2136,2.9629,2.5064,10.2786,-58.3125,586.0,394.0,578.5,390.0,水层
1251.728,9.2031,-0.0056,86.7215,90.125,6.7022,6.42,7.6727,6.9557,15.5703,0.2292,2.959,2.4805,7.7196,-58.6875,582.0,388.75,577.5,384.25,水层
1251.7788,9.25,-0.0062,88.2204,90.75,6.8637,6.6956,6.7807,6.2317,14.1641,0.2508,2.9355,2.4648,6.3111,-58.6875,572.0,389.5,567.5,384.25,水层
1251.8296,9.1641,-0.0054,88.2587,90.5625,6.8907,6.8001,6.8904,6.2616,14.1641,0.256,2.8184,2.4616,6.7223,-58.75,570.5,400.0,563.0,392.25,水层
1251.8804,9.0,-0.0054,88.6114,84.0,6.6269,6.6657,7.2508,6.497,15.5312,0.2614,2.7852,2.4697,6.8375,-58.8438,572.0,405.0,564.0,400.75,水层
1251.9312,9.1719,-0.004,89.5054,89.0,6.4969,6.3614,7.0795,6.364,17.9375,0.2561,2.7988,2.4743,6.6699,-59.2812,582.0,406.0,570.5,401.5,水层
