Depth,CAL,CALI,DRHO,DT,GR,ILD,ILM,LLD,LLS,MRES,MSFL,MTEM,NPHI,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
1243.96875,9.5975,10.8516,0.0613,93.1318,79.5017,5.3854,5.3242,6.0039,5.8554,0.8685,4.1896,58.6914,0.2662,3.8174,2.3257,6.2356,-55.8171,591.1749,399.539,596.3772,406.739,水层
1244.0,9.5975,10.8898,0.0649,93.1113,79.9596,5.3751,5.3241,6.0269,5.8328,0.8677,4.2946,58.6853,0.266,3.8655,2.3293,6.2831,-55.8174,594.7576,406.3164,598.7625,411.52,水层
1244.03125,9.5931,10.7614,0.0685,93.0911,80.4173,5.3545,5.324,6.0384,5.8215,0.8662,4.0927,58.674,0.2654,3.9056,2.3313,6.295,-55.7305,597.147,408.3102,602.7466,414.3098,水层
1244.0625,9.5887,10.6481,0.0709,93.0908,80.4173,5.3442,5.3239,6.05,5.7545,0.8662,5.3177,58.6634,0.2641,3.8935,2.3341,6.3069,-55.6879,600.7311,415.8876,606.332,417.4958,水层
1244.09375,9.5756,10.534,0.0719,93.0703,80.6789,5.344,5.3035,6.0499,5.6992,0.8648,6.2272,58.6574,0.2627,3.8654,2.3357,6.2708,-55.6884,605.1111,419.4763,611.1161,422.6768,水层
1244.125,9.5756,10.5403,0.0723,93.0701,80.8749,5.3439,5.3034,6.0381,5.6992,0.864,6.6998,58.6468,0.2596,3.8292,2.3396,6.1994,-55.6017,608.6951,425.0586,616.6976,426.2614,水层
1244.15625,9.6061,10.5889,0.0723,93.0497,81.2019,5.3336,5.2932,5.9571,5.6663,0.8634,7.2222,58.6711,0.2567,3.8051,2.3418,6.1289,-55.5585,613.4778,429.0486,622.2819,429.0499,水层
1244.1875,9.6323,10.6224,0.0723,93.0293,81.856,5.3336,5.2831,5.9571,5.6553,0.8579,7.6075,58.6651,0.255,3.777,2.3446,6.0476,-55.4717,617.8646,433.832,629.0621,433.0345,水层
1244.21875,9.6497,10.655,0.0725,93.0289,81.856,5.3335,5.283,5.9227,5.6335,0.8572,7.6661,58.6606,0.2515,3.7488,2.3484,5.9561,-55.4288,625.8478,439.4129,635.0491,437.4166,水层
1244.25,9.6671,10.8639,0.0727,93.0489,82.1175,5.3333,5.2727,5.8545,5.6009,0.8565,7.3906,58.7243,0.2496,3.7127,2.352,5.8996,-55.3419,631.0347,442.2013,639.8345,441.7986,水层
1244.28125,9.6933,11.3096,0.0739,93.0484,82.5752,5.3333,5.2727,5.8095,5.7538,0.8558,7.1525,58.7183,0.2475,3.6926,2.3566,5.8214,-55.3428,638.219,445.7858,646.2159,444.9844,水层
1244.3125,9.7151,11.7578,0.0789,93.0483,83.0984,5.3332,5.2726,5.7648,5.7538,0.8544,6.8955,58.7532,0.2453,3.6684,2.3608,5.7442,-55.3002,647.4021,448.5688,651.7999,448.5675,水层
