Depth,AC,CAL,CNL,GR,MINV,MNOR,R025,R045,R25,R4,RA05,RILD,RILM,RL3D,RL3S,RLL8,RM,SP,result
1467.78125,86.5465,8.6517,21.3381,108.8536,4.8955,6.2071,3.641,7.45,8.766,8.2398,9.6024,9.2857,9.7203,8.8269,9.5506,9.5693,0.95,8.8989,差油层
1467.8125,86.4147,8.6704,24.2438,109.5114,4.7666,5.8616,3.7184,7.4649,8.9039,8.4685,9.3199,8.426,9.7739,8.5628,9.0971,9.0924,0.95,9.0655,差油层
1467.84375,86.4408,8.694,30.2842,110.2429,4.7662,5.772,3.972,7.5329,9.06,8.6589,9.0091,7.9698,9.9079,8.1626,8.667,8.7186,0.95,9.3189,差油层
1467.875,86.4668,8.7251,34.2232,110.9745,4.9694,5.6951,4.2255,7.703,9.2162,8.8493,8.72,7.4665,10.0105,7.7624,8.2368,8.0745,0.95,9.5722,差油层
1467.90625,86.5256,8.7562,37.7647,111.706,5.9362,5.4387,4.4934,7.9876,9.3739,9.0142,8.5031,6.9746,10.0791,7.3451,7.7817,7.5192,0.95,9.7985,差油层
1467.9375,86.7155,8.7811,41.8098,112.4376,6.1646,5.4387,4.7612,8.3101,9.5378,8.4333,8.555,6.5748,10.042,6.8592,7.2257,7.1445,0.95,9.9161,差油层
1467.96875,86.9054,8.7811,45.2214,113.1692,5.6543,5.6289,4.8433,8.8241,9.7018,7.8095,8.6831,6.1634,9.687,6.3733,6.6698,6.5324,0.95,10.0337,差油层
1468.0,87.0953,8.7811,46.0563,113.9007,3.1066,6.5825,4.9254,9.3767,9.8658,7.1111,8.862,5.7443,9.1198,5.8874,6.1139,6.0497,0.95,10.1513,差油层
1469.21875,86.4877,8.6095,18.7471,107.9031,4.9455,5.8748,6.2835,12.7584,12.2207,18.9181,18.5208,14.0809,19.579,9.4349,10.5385,8.9821,0.95,8.7257,差油层
1469.25,86.4877,8.6294,18.1629,107.6595,5.2121,5.8873,6.4655,13.3168,12.4547,19.8835,18.3514,13.8568,19.7295,9.9314,11.0043,9.4904,0.95,8.5715,差油层
1469.28125,86.4877,8.6418,16.1085,107.416,5.3515,5.9501,6.4866,14.8858,12.6887,20.7858,18.1788,13.8361,19.9175,10.4279,11.4701,10.0829,0.95,8.4173,差油层
1469.3125,86.4877,8.6542,14.3593,107.2209,5.5289,6.0002,6.5078,16.4549,12.9549,21.7246,18.0439,13.9434,20.0345,11.1817,11.9383,10.6342,0.95,8.3109,差油层
1469.34375,86.4877,8.6642,13.0671,107.099,5.6682,6.1136,5.9729,15.6726,13.2699,22.7181,17.9654,14.0523,19.6071,11.3723,12.41,11.012,0.95,8.2765,差油层
1469.375,86.4877,8.6704,11.874,106.977,5.4891,6.2146,5.4381,14.8904,13.5849,23.6778,17.9963,14.1335,18.978,11.817,12.8818,11.3826,0.95,8.2421,差油层
1469.40625,86.4865,8.6766,10.7051,106.9037,5.055,6.417,5.0408,13.2654,13.9065,24.6864,18.0581,14.243,18.3367,11.2896,13.9136,11.3423,0.95,8.2301,差油层
1469.4375,86.4807,8.6816,8.7508,107.0256,4.7231,6.417,4.6435,11.6404,14.2542,25.925,18.135,14.3797,17.619,10.7261,13.5959,10.7968,0.95,8.3087,差油层
1469.46875,86.4749,8.6816,7.8894,107.1476,4.8625,6.5689,4.4854,10.8202,14.6019,27.2594,18.2119,14.4633,17.0225,10.1626,12.5676,9.8898,0.95,8.3872,差油层
1469.5,86.469,8.6816,6.4678,107.2695,5.562,6.7336,4.3273,10.0,14.9496,28.6577,18.2888,14.5234,16.2979,9.5991,12.253,9.2265,0.95,8.4658,差油层
1469.53125,86.2371,8.6816,5.5721,107.5133,5.5739,6.4145,4.4922,9.9472,15.1042,30.056,18.3123,14.5279,15.8035,8.8398,11.2732,8.5762,0.95,8.5444,差油层
1469.5625,86.0052,8.7003,5.4917,107.7572,4.6939,6.0315,4.6572,9.8944,15.2588,31.4022,18.2849,14.5323,15.5226,8.0804,10.2935,8.1338,0.95,8.6229,差油层
1469.59375,85.7733,8.7189,6.5135,108.001,4.617,5.6867,5.0091,10.0808,15.4134,32.6703,18.1812,14.485,15.6137,7.3211,9.3137,7.7002,0.95,8.7015,差油层
1469.625,85.7243,8.7376,10.8815,108.4401,4.9726,5.3292,5.361,10.2673,15.4735,34.5616,17.8717,14.4907,15.9386,7.2022,8.8224,7.3299,0.95,8.78,差油层
1469.65625,85.7209,8.7612,12.5678,108.9279,5.1121,5.4177,5.8226,11.3726,15.5101,36.1499,17.4901,14.4162,16.2087,6.5438,8.4526,7.0675,0.95,8.8585,差油层
1469.6875,85.7174,8.7861,14.3821,109.4156,5.2895,5.8372,6.2842,12.4779,15.5466,37.1665,17.024,14.4215,16.7302,7.2832,8.0828,6.9912,0.95,8.937,差油层
