Depth,AC,CALI,CALS,CNGR,DRHO,DT,GR,HAC,ILD,ILM,LLD,LLS,MRES,MSFL,MTEM,NPHI,PD,PEF,RHOB,RLLD,RLLS,SFLU,SP,TT1,TT2,TT3,TT4,result
2007.665,-99999.0,11.5312,11.2806,127.7815,0.1823,87.2481,117.9287,-99999.0,5.8357,5.306,5.4989,5.4519,1.2217,6.1014,71.2124,0.2679,-99999.0,3.375,2.246,-99999.0,-99999.0,5.2047,13.2163,531.9936,372.2498,547.9908,386.7526,差油层
2007.69625,-99999.0,11.7348,11.4828,126.4166,0.1987,89.4704,119.2489,-99999.0,5.5764,5.1258,5.1288,5.0799,1.2234,6.5039,71.2251,0.2507,-99999.0,3.4061,2.2045,-99999.0,-99999.0,4.638,13.0785,535.0,372.25,549.0,390.0,差油层
2007.7275,-99999.0,12.1797,11.4154,121.9061,0.1997,89.9833,118.0104,-99999.0,5.5067,5.2925,5.0292,4.9593,1.2252,7.6211,71.2877,0.2366,-99999.0,3.2949,2.1919,-99999.0,-99999.0,4.4622,13.0039,525.5076,374.9978,534.5116,392.9976,差油层
2007.75875,-99999.0,11.9453,11.2241,115.3724,0.1872,88.7193,117.3347,-99999.0,5.5883,5.4981,5.2992,5.2242,1.2256,8.4531,71.3125,0.226,-99999.0,3.2598,2.2261,-99999.0,-99999.0,4.8764,13.0063,520.0,372.25,537.0,391.5,差油层
2007.79,-99999.0,11.3594,10.6435,113.7063,0.2156,85.7054,114.5234,-99999.0,5.7946,5.864,6.1733,6.1062,1.2256,9.2578,71.3125,0.1952,-99999.0,3.0059,2.3358,-99999.0,-99999.0,5.4953,13.0456,523.9968,365.0058,537.9992,380.259,差油层
2007.82125,-99999.0,10.375,9.9031,112.8305,0.2107,81.1105,109.5443,-99999.0,5.963,6.4791,7.8704,7.655,1.2256,9.9766,71.2747,0.1538,-99999.0,2.998,2.4364,-99999.0,-99999.0,6.6216,13.297,528.0,358.75,540.5,372.25,差油层
2007.8525,-99999.0,9.7114,9.5399,110.5375,0.2029,77.3892,104.3455,-99999.0,6.2176,7.082,9.6165,9.1862,1.2262,12.3225,71.25,0.1311,-99999.0,3.0295,2.5155,-99999.0,-99999.0,8.4833,13.6722,536.0,345.5,546.0,361.0,差油层
2007.88375,-99999.0,10.3047,9.9203,107.8193,0.2107,76.093,103.0236,-99999.0,6.5435,7.184,10.448,10.0166,1.2266,15.6326,71.2879,0.1545,-99999.0,3.3125,2.5314,-99999.0,-99999.0,11.2595,14.0122,531.5,346.25,542.5,362.75,差油层
2007.915,-99999.0,11.1252,10.5729,108.4237,0.2114,77.1945,107.1012,-99999.0,6.8184,6.9518,9.7769,9.4983,1.226,16.7031,71.3125,0.1949,-99999.0,3.4083,2.4616,-99999.0,-99999.0,11.1952,14.1746,521.0,348.0,533.0,363.5,差油层
2007.94625,-99999.0,11.3359,11.0261,115.1608,0.1847,79.7888,114.7788,-99999.0,7.0855,6.8178,8.0092,7.9012,1.2238,17.6562,71.3125,0.2252,-99999.0,3.4922,2.3346,-99999.0,-99999.0,8.6327,14.2016,520.0,345.0,528.5,361.5,差油层
2007.9775,-99999.0,11.7031,11.1593,124.3186,0.2229,82.6002,116.6392,-99999.0,7.3332,6.9124,7.2334,7.1461,1.2215,18.2188,71.3125,0.2326,-99999.0,3.4476,2.2772,-99999.0,-99999.0,6.5552,13.9773,521.0,352.75,530.0,362.0,差油层
2008.00875,-99999.0,11.7031,10.866,122.7513,0.2729,84.3594,115.3722,-99999.0,7.155,7.151,7.4884,7.2009,1.2207,19.5312,71.2744,0.2274,-99999.0,3.7988,2.3326,-99999.0,-99999.0,6.2757,13.4133,521.4996,362.742,528.5012,368.245,差油层
2008.04,-99999.0,11.0314,10.7797,119.2807,0.2839,83.6459,112.394,-99999.0,6.6531,7.1095,7.447,7.0436,1.2213,19.9531,71.25,0.2409,-99999.0,3.9492,2.3665,-99999.0,-99999.0,7.1529,12.8422,529.0,368.75,531.5,376.0,差油层
2008.07125,-99999.0,11.2188,11.1534,119.8201,0.27,83.7411,112.6967,-99999.0,6.2744,6.472,7.1485,6.7584,1.2241,19.8128,71.25,0.2712,-99999.0,3.9688,2.3337,-99999.0,-99999.0,7.7457,12.4983,534.9952,370.2488,537.4952,380.7462,差油层
2008.1025,-99999.0,11.8983,11.4184,123.9728,0.2259,84.6362,116.8115,-99999.0,6.0066,5.8927,6.8221,6.4847,1.2256,20.4844,71.2882,0.2869,-99999.0,3.8632,2.2449,-99999.0,-99999.0,6.6893,12.1923,539.5,369.5,542.5,380.75,差油层
2008.13375,-99999.0,11.7969,10.9881,128.8537,0.1845,85.9548,119.747,-99999.0,5.8199,5.8206,6.1376,5.8667,1.2244,21.9375,71.2743,0.2761,-99999.0,3.7285,2.1504,-99999.0,-99999.0,5.502,12.1732,540.9988,369.5,547.496,379.501,差油层
2008.165,-99999.0,11.4531,10.979,134.072,0.1629,87.089,121.3793,-99999.0,5.7989,5.802,5.7075,5.4465,1.2236,23.9062,71.25,0.2687,-99999.0,3.6758,2.1213,-99999.0,-99999.0,5.1813,12.5137,538.0,372.75,547.0,380.0,差油层
2008.19625,-99999.0,11.7734,11.3987,133.4948,0.1591,87.3726,122.1674,-99999.0,5.6985,5.7111,5.8362,5.5192,1.2236,25.6875,71.2117,0.2568,-99999.0,3.3496,2.1712,-99999.0,-99999.0,5.4147,12.7985,534.5028,379.4946,542.004,386.9944,差油层
2008.2275,-99999.0,11.8828,11.6954,135.1154,0.1602,86.5203,120.8943,-99999.0,5.6486,5.6141,6.0001,5.6861,1.2242,26.1094,71.2642,0.2417,-99999.0,3.3594,2.2277,-99999.0,-99999.0,5.5687,12.9478,530.0,374.0,537.0,386.25,差油层
2008.25875,-99999.0,12.117,11.6548,135.0632,0.1757,85.3013,121.3043,-99999.0,5.7713,5.7199,6.0691,5.7806,1.2246,26.1873,71.3509,0.2194,-99999.0,3.4081,2.2903,-99999.0,-99999.0,5.5739,13.1472,529.5,367.5,537.5,380.25,差油层
2008.29,-99999.0,11.8906,11.2486,131.5715,0.168,83.4156,123.2005,-99999.0,6.0097,6.0393,6.3272,6.0545,1.2246,26.8733,71.4134,0.1936,-99999.0,3.3457,2.3483,-99999.0,-99999.0,5.6706,13.5111,522.0,358.75,532.5,369.5,差油层
2008.32125,-99999.0,11.2887,10.8256,124.6592,0.1575,80.8125,124.1059,-99999.0,6.3373,6.5177,7.1212,6.8306,1.2246,23.2969,71.4375,0.1737,-99999.0,3.2049,2.3928,-99999.0,-99999.0,6.3159,13.7567,515.0,348.25,522.5,360.25,差油层
2008.3525,-99999.0,10.8203,10.3505,115.6532,0.1321,77.9258,121.0535,-99999.0,6.8126,7.1887,8.4653,8.0576,1.2234,19.7969,71.4375,0.16,-99999.0,2.9199,2.4291,-99999.0,-99999.0,7.8705,13.9202,506.75,341.5,512.5,353.5,差油层
2008.38375,-99999.0,10.1871,9.8709,110.0584,0.1021,75.5688,115.325,-99999.0,7.3268,7.763,10.1482,9.5591,1.2221,15.9062,71.476,0.1545,-99999.0,2.996,2.4631,-99999.0,-99999.0,9.5895,14.0693,498.0,338.0,506.75,347.0,差油层
2009.00875,-99999.0,11.5156,11.2764,123.6494,0.1026,79.7519,124.186,-99999.0,7.4437,7.1332,6.9367,6.9653,1.2151,34.375,71.5,0.2021,-99999.0,3.4102,2.2359,-99999.0,-99999.0,7.6765,14.5907,506.745,350.7438,511.4974,356.9924,干层
2009.04,-99999.0,11.7266,11.4241,128.341,0.1267,82.5352,125.875,-99999.0,6.9597,6.7882,6.5404,6.4946,1.2158,29.9844,71.4606,0.2243,-99999.0,3.541,2.1808,-99999.0,-99999.0,6.2822,14.4224,518.0,355.5,515.0,360.25,干层
2009.07125,-99999.0,11.4064,11.3307,129.2037,0.1839,83.9602,121.2637,-99999.0,6.6045,6.6361,6.7152,6.5782,1.2152,22.3465,71.4769,0.228,-99999.0,3.6974,2.2129,-99999.0,-99999.0,5.8569,14.2555,530.5,362.0,534.0,368.0,干层
2009.1025,-99999.0,11.6953,11.4084,128.2426,0.2055,84.2173,116.9029,-99999.0,6.2619,6.441,6.8577,6.6837,1.2154,17.8078,71.5395,0.2296,-99999.0,3.7793,2.2821,-99999.0,-99999.0,6.0684,14.019,530.0,374.75,536.0,370.0,干层
2009.13375,-99999.0,11.7965,11.1772,128.2788,0.2115,84.2071,115.1864,-99999.0,5.9632,6.1272,6.769,6.6466,1.2158,15.9062,71.523,0.244,-99999.0,3.7968,2.2914,-99999.0,-99999.0,6.4193,13.793,537.5,376.0,543.5,388.0,干层
2009.165,-99999.0,11.25,11.0572,127.3119,0.2077,83.6903,116.6886,-99999.0,5.8453,5.8991,6.4463,6.387,1.2158,15.4922,71.5396,0.2647,-99999.0,3.7227,2.2786,-99999.0,-99999.0,6.659,13.6831,540.0,374.75,550.0,384.75,干层
2009.19625,-99999.0,11.5545,11.1998,123.4363,0.2117,85.3371,119.477,-99999.0,5.8371,5.8517,6.1542,6.1315,1.2146,15.5469,71.6021,0.2717,-99999.0,3.4745,2.2656,-99999.0,-99999.0,6.3844,13.8559,539.0,374.25,548.0,384.0,干层
