Depth,AC,CALI,DFL,DRHO,DT,GR,HAC,HRID,HRIM,LLD,LLS,MSFL,NPHI,PD60,PE,RHOB,SP,result
1738.225,244.2687,8.615,3.4133,0.3095,101.2194,154.3261,253.6723,2.7041,2.8501,3.9866,4.3584,5.1716,0.2979,177.0486,4.3629,2.4894,-18.5572,干层
1738.25625,239.0816,8.6134,3.3865,0.3141,101.7203,152.7824,249.6243,2.6378,2.7863,3.7442,4.2179,5.1338,0.3015,170.2198,4.5514,2.5217,-18.667,干层
1738.2875,236.8039,8.6161,3.3482,0.285,101.6763,148.7651,245.8288,2.5895,2.7398,3.6151,4.1855,5.4097,0.3074,156.006,4.3604,2.5383,-18.8001,干层
1738.31875,233.3877,8.621,3.3194,0.2519,101.5497,145.924,242.9184,2.5532,2.7036,3.6161,4.1492,5.4417,0.3072,154.9943,4.1301,2.532,-18.881,干层
1738.35,232.1213,8.6287,3.3491,0.2611,101.2859,146.6406,240.6403,2.5315,2.6812,3.6359,4.2384,5.0087,0.3059,148.6205,4.1658,2.5435,-18.8762,干层
1738.38125,233.2574,8.6336,3.3612,0.2739,100.8495,148.9597,242.4083,2.5285,2.6775,3.6631,4.3199,4.7839,0.3005,135.7743,4.1662,2.5632,-18.8475,干层
1738.4125,234.14,8.6325,3.4469,0.2683,100.4266,149.9596,245.1883,2.5429,2.693,3.6656,4.2776,4.7606,0.2962,125.3531,4.069,2.5727,-18.7903,干层
1738.44375,234.8967,8.6287,3.5453,0.2623,99.9751,149.1986,248.4737,2.5718,2.7247,3.6786,4.3753,4.8426,0.2907,124.8976,4.0475,2.5596,-18.7048,干层
1738.475,235.4006,8.6227,3.6174,0.2712,99.3612,147.1613,252.5179,2.6142,2.771,3.7223,4.462,5.0558,0.2866,122.1648,4.1578,2.5512,-18.7286,干层
1738.50625,236.2838,8.6167,3.7953,0.2665,98.3125,144.7441,255.0452,2.6736,2.8347,3.8081,4.4074,5.1777,0.2872,119.4316,4.1326,2.5422,-18.8477,干层
1738.5375,236.9144,8.6167,4.2376,0.2514,96.8047,142.0341,258.3307,2.7536,2.9189,3.9748,4.591,5.2809,0.2804,117.558,4.0539,2.5485,-18.8953,干层
1738.56875,237.5448,8.6205,4.7041,0.2247,95.575,138.5608,260.2261,2.8474,3.0162,4.1711,4.8807,5.5724,0.2733,116.2406,3.9765,2.5399,-18.9383,干层
1738.6,238.1751,8.6238,4.8396,0.2236,94.9058,134.6764,262.7531,2.9384,3.1068,4.251,5.0591,5.9302,0.2717,115.379,4.0481,2.5368,-19.0095,干层
1738.63125,232.7354,8.6303,4.671,0.2447,94.103,130.6111,260.4747,3.0132,3.1788,4.2224,5.0305,6.4823,0.2723,115.7808,4.2226,2.5584,-19.0286,干层
1738.6625,226.0316,8.6325,4.3712,0.2447,92.6719,127.3932,255.2883,3.0883,3.2522,4.1543,4.7997,7.0291,0.2703,116.2844,4.2196,2.5688,-18.9763,干层
1738.69375,219.8335,8.6298,4.3656,0.2381,91.0014,125.3228,249.8489,3.2069,3.378,4.2558,4.729,6.624,0.2604,116.5854,4.159,2.5742,-19.0334,干层
1738.725,215.5322,8.6248,4.6158,0.2481,89.6047,122.995,243.2715,3.4056,3.5945,4.6253,5.116,6.2379,0.2468,117.1894,4.2535,2.5749,-19.0762,干层
1738.75625,209.5871,8.6183,5.3305,0.2697,88.6541,120.7961,236.8202,3.6716,3.8861,4.952,5.6154,6.0671,0.2337,117.7433,4.4306,2.578,-19.0811,干层
1738.7875,204.2739,8.6134,5.6898,0.2557,88.4107,119.5845,231.6337,3.9123,4.1537,5.1445,5.7548,7.0716,0.2324,115.7689,4.3208,2.5724,-19.1381,干层
1738.81875,199.7194,8.6156,5.1463,0.2036,88.2422,118.6525,225.6882,4.0288,4.2838,5.2463,5.9027,10.772,0.2352,114.0979,3.9576,2.5623,-19.1523,干层
1738.85,196.9359,8.6205,4.9876,0.152,87.0158,118.1581,221.8931,4.0563,4.3123,5.1474,5.677,12.2233,0.2268,111.819,3.629,2.5483,-19.081,干层
1738.88125,191.7491,8.627,4.8937,0.1541,84.5531,117.492,216.7063,4.1808,4.4299,5.3499,5.4347,11.9015,0.2102,110.705,3.6855,2.5492,-19.0955,干层
1738.9125,187.0685,8.6314,5.3988,0.2142,81.3037,113.9963,212.7843,4.6436,4.9005,6.0035,5.7242,9.7972,0.1921,109.3876,4.0623,2.5887,-19.2382,干层
1738.94375,191.3659,8.6248,8.2136,0.2308,77.7041,106.9771,210.0001,5.7382,6.0326,7.1536,7.0491,6.6081,0.1812,108.1208,4.2707,2.5967,-19.3381,干层
1738.975,195.5365,8.6112,15.0343,0.1751,73.3297,97.2172,208.6075,7.9601,8.3898,9.4681,9.7976,9.9443,0.1663,107.1075,4.1881,2.5666,-19.5051,干层
1739.00625,198.8226,8.5954,29.9023,0.1701,68.4176,85.5933,207.7204,12.1803,12.9769,13.9246,15.7294,30.9965,0.1315,106.0433,4.3531,2.6127,-19.7432,干层
1739.0375,201.6023,8.5812,62.8366,0.2336,64.8703,74.2357,208.3507,19.3139,21.0257,24.5411,31.7132,100.8283,0.0973,104.9787,4.7796,2.7088,-20.0003,干层
1739.06875,203.4974,8.5752,97.3114,0.2401,63.4501,65.1783,211.3832,28.5628,32.112,50.5554,63.2313,173.9207,0.0786,104.673,4.7483,2.701,-20.143,干层
1739.1,204.6336,8.5763,103.4268,0.2214,63.4901,59.6697,216.8186,35.2791,41.4065,86.1031,96.2059,124.0932,0.067,104.5695,4.5211,2.6573,-20.1952,干层
1739.13125,205.7697,8.5812,88.4467,0.2013,64.3313,58.7585,222.254,37.5206,45.8802,86.833,96.2611,102.2826,0.0611,104.7188,4.4339,2.6209,-20.2381,干层
1739.1625,206.6526,8.5877,77.2037,0.1805,65.3274,61.991,226.4249,35.9294,44.8828,68.9673,77.0965,97.5871,0.062,105.5254,4.4589,2.6182,-20.2571,干层
1739.19375,207.2822,8.5943,65.0569,0.1353,65.9937,68.4958,232.2397,32.6597,40.738,57.4055,64.0515,106.8154,0.0683,106.4332,4.3326,2.6267,-20.2476,干层
1739.225,208.0393,8.5948,53.6631,0.062,66.3472,77.0507,237.6751,29.186,35.7568,50.4305,57.9008,93.4109,0.0733,107.4927,4.0495,2.6026,-20.2382,干层
1739.25625,209.1754,8.5926,47.2066,0.0182,66.4874,85.3028,242.9837,26.3228,31.3358,44.8991,51.7885,57.1988,0.0734,109.5634,3.8019,2.5757,-20.3,干层
1739.2875,210.3119,8.5883,44.2153,0.0225,66.425,90.9602,251.2011,24.1236,27.7883,42.1726,45.9142,49.3183,0.0762,112.0892,3.7685,2.5775,-20.3571,干层
1739.31875,212.8386,8.5828,43.0292,0.0495,66.3507,92.4205,257.7749,22.0214,24.5526,42.6226,45.2681,44.8721,0.0837,115.5252,3.7454,2.5905,-20.357,干层
1739.35,215.1128,8.5817,41.6118,0.0932,66.9,90.3774,268.5212,19.2209,20.8604,41.6353,47.5083,42.4868,0.09,118.2536,3.8595,2.6182,-20.29,干层
1739.38125,219.7895,8.5839,33.3543,0.1403,68.2969,87.4483,272.3127,15.6128,16.6182,33.4859,42.4696,64.211,0.0988,120.6783,4.329,2.6606,-20.0948,干层
1739.4125,227.2482,8.591,24.2246,0.1682,70.2115,86.2504,268.3905,12.0377,12.6593,25.3327,30.2903,80.3134,0.1054,123.0019,4.7348,2.6833,-19.8048,干层
1739.44375,240.0178,8.6003,15.4807,0.1823,73.2484,88.9089,263.3305,9.1791,9.6035,19.7663,23.045,46.6622,0.1076,125.5277,4.5241,2.6678,-19.5139,干层
1739.475,249.1203,8.6085,10.9373,0.207,77.8447,96.2806,256.3737,7.1708,7.4992,13.2994,16.6941,23.9279,0.1151,128.3569,4.2626,2.6471,-19.171,干层
1739.50625,262.2688,8.6123,8.3928,0.2116,82.3984,107.1606,247.5202,5.8877,6.1636,8.4462,10.552,25.1048,0.1381,131.034,4.3808,2.6021,-18.828,干层
1739.5375,273.6478,8.6106,7.0459,0.2021,84.532,117.5325,234.6199,5.1923,5.4472,6.1364,7.3383,26.528,0.1707,134.1674,4.3651,2.5658,-18.5809,干层
1739.56875,282.4973,8.6052,6.6424,0.1967,83.5527,121.9475,225.2606,5.0324,5.2841,5.6988,6.5017,12.4473,0.1742,138.7157,4.0539,2.5193,-18.4857,干层
1739.6,290.2089,8.597,7.5559,0.259,80.6828,117.123,216.2807,5.4475,5.7202,6.3756,7.3019,6.4337,0.1483,146.1972,4.1866,2.5536,-18.4238,干层
1739.63125,274.9064,8.5915,12.0465,0.2699,76.661,105.253,203.6333,6.5757,6.8986,7.7244,8.8596,6.6672,0.1346,152.3134,4.3304,2.5814,-18.4476,干层
1739.6625,267.0645,8.5915,20.1131,0.1733,71.5719,91.9808,189.4689,8.5249,8.9718,9.9211,11.9838,17.5557,0.1272,157.4686,3.8789,2.5447,-18.4574,干层
1739.69375,259.6017,8.5943,34.36,0.0382,67.2657,82.3435,180.7419,10.9188,11.5335,13.85,18.404,46.8056,0.099,162.4724,3.4225,2.4822,-18.5811,干层
1739.725,254.0359,8.5997,40.3458,0.0118,65.9863,78.3779,174.038,12.3167,13.0091,20.314,29.0301,76.8382,0.0724,168.8411,3.5406,2.5507,-18.6476,干层
1739.75625,249.4818,8.6041,32.6713,0.017,67.5391,79.2312,176.5648,11.6988,12.2773,25.5921,35.5144,75.9907,0.0644,176.8282,3.6442,2.6252,-18.6381,干层
1739.7875,245.9392,8.6019,21.7674,0.0042,70.598,83.0053,182.1266,9.964,10.4234,22.466,30.3842,46.7552,0.0655,184.8659,3.5695,2.626,-18.6095,干层
1746.00625,236.564,8.6472,4.8215,0.2262,94.6594,119.244,247.4783,3.2945,3.4677,3.7528,4.324,5.605,0.2512,164.3577,4.0499,2.5534,-15.3474,干层
1746.0375,233.527,8.6549,5.4529,0.2269,92.858,116.1574,246.0854,3.565,3.7458,4.3392,4.9356,5.722,0.2501,161.372,4.189,2.5626,-15.1617,干层
1746.06875,231.5022,8.6576,6.4256,0.1962,91.7172,113.1259,244.0593,3.8436,4.025,4.8579,5.7837,7.4538,0.2395,158.0821,4.2359,2.5665,-15.038,干层
1746.1,228.3391,8.6571,7.6464,0.155,90.1322,110.3166,242.4135,4.0403,4.2131,5.1894,6.1182,10.4033,0.2168,155.4002,4.2979,2.5546,-15.0095,干层
1746.13125,224.5431,8.6543,7.3963,0.1925,88.6132,107.5867,240.8945,4.0843,4.2416,5.935,6.8878,15.1311,0.2027,152.7175,4.5695,2.587,-15.0,干层
1746.1625,221.7597,8.6505,7.2396,0.2676,89.2,106.0827,239.1223,3.9692,4.107,6.3494,7.6605,12.6226,0.2041,150.9453,4.9545,2.6336,-15.0002,干层
1746.19375,219.4817,8.6461,6.7309,0.2606,91.7956,107.7176,237.2239,3.733,3.8546,5.9447,7.0518,9.143,0.2064,148.7682,4.9583,2.61,-15.1287,干层
1746.225,219.8591,8.6472,5.5941,0.2058,94.5766,112.6549,234.5663,3.4375,3.5501,5.2324,6.0888,11.5972,0.2101,146.9455,4.5333,2.5542,-15.1857,干层
1746.25625,222.2596,8.6527,4.8008,0.2235,97.2018,119.9536,232.2879,3.1489,3.2586,4.5607,5.4282,10.4488,0.219,145.0719,4.3882,2.5665,-15.1857,干层
1746.2875,227.3152,8.6592,4.2789,0.2273,99.8526,128.4703,229.757,2.919,3.0264,4.1196,4.8382,7.2837,0.2303,143.7042,4.2352,2.5551,-15.2238,干层
1746.31875,230.6009,8.6674,3.8477,0.2052,101.9719,135.2516,227.7322,2.7647,2.8703,3.7426,4.1969,6.4394,0.2405,141.6788,4.0238,2.5294,-15.2571,干层
1746.35,235.6565,8.6702,3.6111,0.2431,103.0088,137.7065,224.5688,2.6857,2.7909,3.3043,3.7905,5.9065,0.2516,140.5641,4.216,2.5688,-15.2428,干层
1746.38125,239.0689,8.6658,3.536,0.2747,102.5047,136.4282,222.1646,2.6846,2.7938,2.9627,3.5491,5.3932,0.2633,140.1572,4.559,2.5861,-15.1857,干层
1746.4125,243.7452,8.6554,3.5418,0.244,100.134,133.0018,218.4954,2.7843,2.9033,2.9491,3.4212,5.1874,0.268,139.9525,4.4439,2.5163,-15.1713,干层
1746.44375,247.4105,8.6407,3.5906,0.2215,96.1236,127.4203,220.2634,3.0368,3.1723,3.2979,3.7363,5.1098,0.2706,140.8603,4.1696,2.4252,-15.1095,干层
1746.475,251.7074,8.6248,4.5245,0.2537,91.1687,119.1876,225.446,3.533,3.6854,3.895,4.4982,4.9995,0.2507,143.1334,4.3436,2.3964,-15.0858,干层
1746.50625,253.8554,8.6161,6.4189,0.2649,85.6819,108.7145,235.5598,4.4134,4.589,4.8835,5.6178,6.2075,0.2245,147.328,4.7122,2.4303,-15.1526,干层
1746.5375,252.8419,8.6145,10.4499,0.2155,79.7906,97.6778,243.6504,5.8643,6.0704,6.6419,7.5518,10.7967,0.2022,151.5735,4.6251,2.4953,-15.3005,干层
