Depth,AC,CALS,DRHO,DT,GR,HAC,ILD,ILM,LLD,LLS,MRES,MSFL,MTEM,NPHI,PD,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
2278.25625,242.4299,8.7812,0.0976,78.8491,118.125,251.1025,7.5818,7.6504,7.3375,6.7549,0.9668,14.6641,89.375,0.1154,164.578,10.4996,2.518,7.4559,78.7344,523.0311,371.857,523.0195,371.857,干层
2278.2875,241.5218,8.7812,0.1,78.3981,115.875,251.1033,7.527,7.7893,8.2693,7.5648,0.9673,13.6328,89.375,0.1147,168.575,10.5191,2.5039,7.4618,78.7344,525.248,372.3542,523.9371,372.3542,干层
2278.31875,240.6116,8.7656,0.1036,77.1505,109.4375,250.9769,7.4788,8.0681,9.1596,8.2113,0.9683,12.7738,89.3125,0.1146,171.189,10.7259,2.491,8.1314,78.9844,527.0524,372.8168,525.3021,372.8168,干层
2278.35,239.5731,8.75,0.1066,75.6278,103.8732,250.5969,7.4527,8.2102,9.5634,8.5506,0.9688,12.8516,89.375,0.1146,172.542,10.894,2.4782,9.5279,78.9832,528.3903,373.3101,525.3484,373.3101,干层
2278.38125,238.5347,8.7578,0.1117,74.6281,102.75,250.3436,7.5079,8.1088,9.283,8.4393,0.9678,12.9062,89.375,0.1154,171.252,10.7174,2.4661,10.5347,78.2344,528.8724,374.6556,524.5196,374.6556,干层
2278.4125,237.6245,8.75,0.118,74.6606,108.9375,249.836,7.5895,8.01,9.0837,8.4299,0.9678,13.0078,89.375,0.1156,166.836,10.5248,2.454,10.2323,78.2344,528.9265,375.1374,521.9636,375.1374,干层
2278.44375,236.0731,8.75,0.1293,75.1716,111.4375,249.3289,7.6628,8.117,8.1891,7.7247,0.9678,13.1172,89.375,0.1171,164.012,9.9967,2.4516,9.2427,77.7344,527.6697,375.1835,520.2673,375.1835,干层
2278.475,234.65,8.7656,0.1398,75.4621,107.5562,248.6945,7.6564,8.1909,8.5637,7.939,0.9673,13.3516,89.4374,0.1206,163.39,9.966,2.4492,8.8468,77.7348,525.985,375.2374,519.0066,375.2374,干层
2278.50625,232.4533,8.7812,0.148,75.4266,103.625,247.9332,7.5275,8.0481,9.253,8.5003,0.9683,13.5703,89.375,0.1246,167.342,9.8707,2.4548,9.1472,77.9844,524.2771,375.2797,517.7498,375.2797,干层
2278.5375,230.7758,8.7812,0.1578,75.9307,106.4375,246.5367,7.3766,7.7543,7.9345,7.4615,0.9683,13.7266,89.3125,0.13,173.413,9.655,2.4605,9.177,78.2344,522.1412,375.3258,517.3489,375.3258,干层
2278.56875,227.6731,8.7812,0.1703,77.2471,114.8125,244.8861,7.3862,7.4539,7.1809,6.7875,0.9678,13.6953,89.3125,0.1367,177.13,9.2418,2.4684,8.575,78.4844,519.5891,374.9402,517.4146,374.9402,干层
2278.6,227.4124,8.7812,0.1794,78.5384,119.9375,242.9816,7.5665,7.3842,7.0586,6.7322,0.9678,13.6875,89.3125,0.1427,178.024,8.7663,2.4763,7.615,78.2344,517.4609,373.6832,517.4455,373.6832,干层
2278.63125,226.1197,8.7812,0.1875,78.7527,121.0625,239.6801,7.8344,7.7137,7.3098,7.0148,0.9673,15.2422,89.3125,0.1481,180.731,8.2213,2.4912,7.0955,78.2344,515.7607,372.4261,516.6205,372.4261,干层
2278.6625,224.6966,8.7578,0.1908,77.2894,114.6875,236.8863,8.1664,8.4071,8.6305,8.1278,0.9678,17.7344,89.375,0.1526,177.504,7.56,2.5061,7.6548,79.7344,513.6249,370.7258,514.928,370.7258,干层
2278.69375,223.1432,8.7578,0.1921,74.326,103.9375,233.8385,8.4438,9.2206,11.1359,10.4296,0.9678,21.625,89.3125,0.1544,175.2,6.7551,2.5232,9.5729,78.4844,511.4929,369.037,513.2317,369.037,干层
2278.725,221.9786,8.7656,0.1914,71.1978,93.6875,230.6639,8.7124,9.919,13.322,12.5123,0.9688,21.6524,89.375,0.1482,166.972,6.4697,2.5403,12.4745,77.7188,509.8004,366.9048,510.6717,366.9048,干层
2278.75625,220.6796,8.7578,0.1891,69.3641,87.6303,227.9972,9.0594,10.3636,14.3122,13.5962,0.9688,20.8594,89.3124,0.1376,162.891,6.2191,2.5548,14.9667,77.9696,508.0963,364.333,508.5397,364.333,干层
2278.7875,219.8998,8.7812,0.1859,69.1156,90.9375,225.9654,9.4984,10.5943,12.988,12.6493,0.9688,19.2812,89.25,0.1272,158.282,5.992,2.5693,15.7296,78.4688,505.972,361.769,505.5479,361.769,干层
2278.81875,218.7311,8.7812,0.1823,69.9528,93.25,223.2987,9.9588,10.6557,11.1592,11.0183,0.9673,17.8594,89.3125,0.1193,153.99,5.85,2.5831,14.7958,80.7188,504.7113,359.6406,504.2834,359.6406,干层
2278.85,217.5666,8.7891,0.1758,71.2888,101.25,225.7127,10.3219,10.5919,10.5684,10.5004,0.9648,16.625,89.3125,0.1117,153.431,6.0065,2.597,13.3041,80.4688,503.9056,356.6447,502.587,356.6447,干层
2278.88125,216.9129,8.7812,0.1677,72.2966,102.8845,229.143,10.5489,10.607,9.9248,10.0273,0.9644,15.8359,89.2502,0.1069,153.127,6.1669,2.6123,11.9829,81.4523,503.497,354.5086,501.3302,354.5086,干层
2278.9125,216.0007,8.7812,0.1525,72.54,108.8125,231.43,10.6382,10.736,10.0807,10.174,0.9653,14.5469,89.375,0.1069,153.202,6.4132,2.6275,11.4312,80.9844,503.1076,351.9407,500.9331,351.9407,干层
2278.94375,215.2188,8.7656,0.1425,71.8606,104.5,233.336,10.7497,10.9536,11.1913,11.305,0.9648,13.8125,89.3125,0.1087,152.202,6.5148,2.6246,11.7186,79.7344,503.5935,350.2442,500.9872,350.2442,干层
2278.975,214.5652,8.7578,0.1348,70.9546,102.1875,234.4798,10.9422,11.2869,12.1265,12.195,0.9658,13.2344,89.25,0.1127,146.641,6.7763,2.6217,12.6287,79.2344,504.5112,347.6916,501.8971,347.6916,干层
2279.00625,213.9095,8.7578,0.1325,70.3857,96.4375,235.1156,11.3444,11.8435,13.5832,13.5832,0.9658,14.3281,89.3125,0.117,137.994,6.9441,2.6163,13.9501,78.9844,505.4366,346.4192,503.6977,346.4192,干层
2279.0375,213.5143,8.7656,0.1345,69.9878,95.375,234.3541,11.9979,12.6272,14.9647,14.9483,0.9663,14.9766,89.375,0.1228,129.996,7.1161,2.6109,15.5611,78.2344,506.786,345.1583,505.934,345.1583,干层
2279.06875,212.9889,8.7578,0.1381,69.616,90.1875,232.4496,12.8318,13.5533,15.6268,15.644,0.9658,15.2734,89.4375,0.1297,118.535,7.4161,2.605,17.3584,77.7344,508.5751,344.333,507.268,344.333,干层
2279.1,212.5917,8.7656,0.144,69.2882,89.6875,229.4018,13.8398,14.6475,16.7063,16.7629,0.9663,13.7734,89.4375,0.1404,114.259,7.8983,2.5992,18.878,77.7344,510.3641,344.8148,509.94,344.8148,干层
2279.13125,212.451,8.7578,0.1475,68.9532,85.3125,226.2268,14.8567,15.8886,18.4263,18.56,0.9653,12.8253,89.375,0.1524,111.476,8.4889,2.59,20.2928,77.9844,513.4717,347.0432,513.0438,347.0432,干层
2279.1625,212.6929,8.7578,0.1542,68.5768,81.9878,223.0519,15.647,17.2895,20.9584,20.9293,0.9653,12.2422,89.4374,0.1634,107.683,10.0271,2.5807,22.2316,77.7336,516.1283,350.5708,514.3895,350.5708,干层
2279.19375,213.0651,8.7578,0.1566,68.2124,74.375,218.9879,15.9934,18.3833,23.5261,22.9828,0.9658,13.5391,89.375,0.1687,115.245,10.035,2.5706,25.9972,77.2422,518.7849,354.9853,517.0499,354.9853,干层
2291.4125,228.5685,-99999.0,0.009,-99999.0,-99999.0,232.4659,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,26.2031,-99999.0,0.0872,131.343,3.6019,2.5435,-99999.0,-99999.0,484.2376,349.5516,485.5377,349.5516,干层
2291.44375,228.1871,-99999.0,0.0147,-99999.0,-99999.0,232.5938,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,27.6562,-99999.0,0.086,139.618,3.8432,2.5405,-99999.0,-99999.0,485.5955,349.6054,485.1519,349.6054,干层
2291.475,227.5517,-99999.0,0.0187,-99999.0,-99999.0,232.722,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,28.3438,-99999.0,0.0854,146.327,4.4639,2.5375,-99999.0,-99999.0,486.9495,349.6438,485.6302,349.6438,干层
2291.50625,226.4077,-99999.0,0.0239,-99999.0,-99999.0,232.7224,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,28.7812,-99999.0,0.0847,161.946,4.891,2.5381,-99999.0,-99999.0,488.7279,349.2425,487.8561,349.2425,干层
2291.5375,225.7721,-99999.0,0.0303,-99999.0,-99999.0,232.7229,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,28.3906,-99999.0,0.0842,169.351,5.446,2.5388,-99999.0,-99999.0,490.9692,349.2886,490.5255,349.2886,干层
2291.56875,224.7552,-99999.0,0.0402,-99999.0,-99999.0,232.4693,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,20.0469,-99999.0,0.0841,173.152,6.4228,2.5348,-99999.0,-99999.0,492.7514,350.2142,494.5105,350.2142,干层
2291.6,224.3739,-99999.0,0.0474,-99999.0,-99999.0,232.2156,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,15.2969,-99999.0,0.0856,173.339,7.3492,2.5308,-99999.0,-99999.0,495.4364,352.4552,495.853,352.4552,干层
2291.63125,223.4842,-99999.0,0.0559,-99999.0,-99999.0,231.0718,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,12.3906,-99999.0,0.0879,167.497,7.9351,2.5239,-99999.0,-99999.0,496.7673,353.7937,498.9546,353.7937,干层
2291.6625,223.1029,-99999.0,0.0662,-99999.0,-99999.0,229.0376,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,12.0781,-99999.0,0.0937,153.39,8.3042,2.517,-99999.0,-99999.0,498.5611,355.5797,501.6125,355.5797,干层
2291.69375,223.1033,-99999.0,0.0792,-99999.0,-99999.0,228.148,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,12.0859,-99999.0,0.0986,140.805,8.5416,2.508,-99999.0,-99999.0,502.1179,358.2528,503.8384,358.2528,干层
2291.725,223.4853,-99999.0,0.0928,-99999.0,-99999.0,228.0216,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,12.1172,-99999.0,0.1031,133.376,8.7521,2.4989,-99999.0,-99999.0,503.4488,360.4785,506.9439,360.4785,干层
2291.75625,223.7399,-99999.0,0.1058,-99999.0,-99999.0,227.7678,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,12.7055,-99999.0,0.1101,133.376,8.8463,2.489,-99999.0,-99999.0,505.6786,363.144,509.6057,363.144,干层
2291.7875,224.3761,-99999.0,0.1208,-99999.0,-99999.0,227.1327,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,13.2031,-99999.0,0.119,152.077,8.662,2.479,-99999.0,-99999.0,507.9006,366.2569,512.7266,366.2569,干层
2291.81875,225.1395,-99999.0,0.1361,-99999.0,-99999.0,226.1162,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,13.6406,-99999.0,0.1276,165.142,8.4852,2.4719,-99999.0,-99999.0,511.0215,368.0352,514.5012,368.0352,干层
2291.85,226.4117,-99999.0,0.1489,-99999.0,-99999.0,225.2265,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,11.6797,-99999.0,0.1395,187.267,8.355,2.4648,-99999.0,-99999.0,513.6833,371.1481,516.295,371.1481,干层
2291.88125,227.3022,-99999.0,0.159,-99999.0,-99999.0,224.0825,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,10.1016,-99999.0,0.1515,198.471,8.221,2.4727,-99999.0,-99999.0,515.9054,372.0392,517.6337,372.0392,干层
2291.9125,228.7016,-99999.0,0.1706,-99999.0,-99999.0,222.8114,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,8.9453,-99999.0,0.157,210.604,8.2222,2.4806,-99999.0,-99999.0,518.9993,374.288,520.7469,374.288,干层
2291.94375,230.101,-99999.0,0.1813,-99999.0,-99999.0,221.6674,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,8.8516,-99999.0,0.1673,216.262,8.6959,2.4894,-99999.0,-99999.0,521.2214,375.638,521.6535,375.638,干层
2291.975,230.9915,-99999.0,0.1941,-99999.0,-99999.0,220.5236,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,8.8438,-99999.0,0.1801,212.922,10.0548,2.4981,-99999.0,-99999.0,523.8833,376.9996,523.4512,376.9996,干层
2292.00625,232.6452,-99999.0,0.2028,-99999.0,-99999.0,220.6514,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,8.8906,-99999.0,0.1871,205.212,10.2409,2.5034,-99999.0,-99999.0,526.9965,377.9022,525.681,377.9022,干层
2292.0375,233.6629,-99999.0,0.21,-99999.0,-99999.0,222.814,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,9.2031,-99999.0,0.1904,196.867,11.5894,2.5148,-99999.0,-99999.0,528.7827,379.7036,527.039,379.7036,干层
2292.06875,235.1895,-99999.0,0.217,-99999.0,-99999.0,226.1213,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,9.4688,-99999.0,0.192,185.733,12.3261,2.5148,-99999.0,-99999.0,531.4523,380.1741,528.4047,380.1741,干层
2292.1,236.4617,-99999.0,0.2141,-99999.0,-99999.0,229.5557,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,9.6875,-99999.0,0.1915,185.164,12.8849,2.5054,-99999.0,-99999.0,533.2308,381.0921,529.3036,381.0921,干层
2292.13125,237.9882,-99999.0,0.21,-99999.0,-99999.0,237.1871,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,9.6484,-99999.0,0.1886,187.631,13.2037,2.4908,-99999.0,-99999.0,535.0209,381.5972,530.2256,381.5972,干层
