Depth,CALS,DRHO,DT,GR,ILD,ILM,LLD,LLS,MRES,MSFL,MTEM,NPHI,PEF,RHOB,SFLU,SP,TT1,TT2,TT3,TT4,result
971.3028,9.2422,0.0148,97.7126,79.5,5.1197,5.6544,5.4809,5.2562,0.877,12.165,41.9375,0.2936,6.2946,2.1775,6.4828,-31.9688,657.0674,461.3807,654.6009,458.9066,水层
971.3536,10.4688,0.0162,97.9688,88.0,4.767,4.9251,4.2878,4.3007,0.8765,11.8594,41.9062,0.2749,8.6996,2.1288,5.4661,-31.1875,656.3031,459.7892,653.0145,458.135,水层
971.4044,10.9219,0.0155,99.3945,100.5625,4.469,4.2434,3.3258,3.352,0.8765,10.6016,41.9062,0.2847,10.5126,2.0626,4.246,-31.0,654.3128,458.615,652.226,456.98,水层
971.4552,10.3594,0.0238,103.4712,106.625,4.2803,3.857,2.9726,3.0014,0.8774,10.8045,41.9062,0.3187,11.7017,2.0241,3.2269,-30.4844,653.5244,457.8482,651.053,456.2036,水层
971.506,10.2188,0.0392,106.8861,104.875,4.1677,3.7344,3.0254,3.0339,0.8774,11.3359,41.9062,0.3506,13.2852,2.0342,2.7177,-30.3281,652.3418,456.6643,649.4618,455.4321,水层
971.5568,10.1953,0.0547,108.513,99.625,4.1234,3.8268,3.4816,3.3835,0.877,13.4297,41.9688,0.3667,14.6599,2.0637,2.6913,-30.4531,651.1592,455.5045,649.5148,454.6605,水层
971.6076,10.1562,0.0736,105.3075,92.8125,4.1269,4.0591,4.3835,4.2199,0.877,14.4441,41.9688,0.3588,12.5681,2.1015,3.1139,-30.8906,650.3948,453.9082,648.7408,453.8986,水层
971.6584,9.4375,0.0824,99.7943,90.9375,4.1379,4.3596,5.6635,5.4002,0.877,15.3438,42.0,0.3313,8.4222,2.1473,3.9012,-31.6406,649.6306,453.1512,647.991,452.3265,水层
971.7092,9.0,0.0951,95.4159,87.875,4.174,4.6132,6.388,6.056,0.8765,13.7891,42.0,0.297,6.2091,2.2312,5.0561,-32.3125,649.6884,453.1946,647.6257,452.3796,水层
971.76,9.5547,0.1023,93.1258,87.5625,4.2755,4.7068,6.1489,5.9489,0.8765,12.2969,42.0,0.2631,6.0017,2.295,6.0883,-32.0312,648.9337,452.8548,647.2845,452.0107,水层
971.8108,10.9922,0.0801,92.7836,90.4375,4.4302,4.6484,5.3008,5.1899,0.8765,11.4453,42.0,0.2445,7.3325,2.2593,6.0827,-30.9688,648.9916,452.4956,646.9144,451.6612,水层
971.8616,11.578,0.065,93.1156,92.8137,4.5459,4.533,4.3125,4.218,0.8755,10.7422,42.0,0.2429,9.5288,2.1846,5.2991,-29.9528,649.0494,452.1364,646.5588,451.724,水层
971.9124,11.4297,0.0659,94.3527,95.8125,4.56,4.4178,3.8566,3.7811,0.876,10.0,42.0,0.2451,11.6946,2.1264,4.5129,-29.2969,649.0977,451.782,646.6166,451.8013,水层
971.9632,11.5625,0.0519,96.5381,96.8125,4.4825,4.2402,3.7539,3.6671,0.8784,8.8608,42.0,0.2488,13.2771,2.0579,3.9613,-28.9219,648.7516,451.8496,647.4966,452.2523,水层
972.014,12.3281,0.032,98.0592,100.75,4.3481,4.0471,3.7435,3.6291,0.8779,8.0938,42.0,0.2605,14.0989,1.9837,3.6183,-28.4531,648.824,452.3344,647.9825,452.3248,水层
972.0648,12.1875,0.0203,98.6457,100.0,4.2062,3.9564,3.7688,3.6075,0.8779,7.918,42.0,0.2735,14.176,1.934,3.3985,-28.0156,648.8625,452.3683,648.449,452.3779,水层
972.1156,11.4219,0.0103,98.6378,103.1875,4.1166,3.9562,3.777,3.5943,0.8784,7.4342,42.0,0.2787,13.5535,1.9185,3.3619,-28.375,648.9204,453.2558,648.9301,452.4262,水层
972.1664,11.3047,0.0049,98.0644,101.0625,4.1162,3.9737,3.9135,3.6986,0.8779,7.2344,42.0,0.2742,13.0472,1.922,3.4726,-29.2969,648.9831,453.7309,649.3918,452.9062,水层
972.2172,11.4766,0.0057,97.3424,103.25,4.2033,4.0309,4.4125,4.1876,0.8755,7.1914,42.0312,0.2815,11.7342,1.9411,3.5527,-29.7969,649.041,454.6136,650.2911,453.8034,水层
972.268,9.9766,0.0106,96.5241,95.125,4.3712,4.2643,5.0193,4.7239,0.876,7.6596,42.0312,0.2946,8.3232,1.9988,3.6264,-30.9219,649.1133,454.6667,650.3442,454.6667,水层
972.3188,8.9766,0.0184,96.0569,90.1875,4.5565,4.6566,5.9712,5.4209,0.877,8.0781,42.0312,0.3074,5.4209,2.1088,4.1451,-31.9219,649.5798,455.559,651.2484,455.5542,水层
972.3696,9.0078,0.0255,95.0802,86.8125,4.771,4.973,6.8416,6.1662,0.877,8.1484,42.0312,0.2947,4.4233,2.2357,5.1247,-32.75,649.6329,456.0245,651.7053,456.8588,水层
972.4204,9.0234,0.034,93.9372,85.5625,4.9672,5.1324,6.5822,6.1033,0.877,7.957,42.0625,0.2735,4.3374,2.3147,6.0819,-32.4688,650.5467,456.4948,652.1863,458.1731,水层
972.4712,9.0078,0.0352,93.4883,89.6875,5.1205,5.2379,6.4998,6.0244,0.8765,8.3438,42.0625,0.2677,4.4855,2.3356,6.1953,-32.5312,651.4075,457.3823,652.6384,458.2069,水层
972.522,8.9844,0.0238,92.9303,86.0009,5.2205,5.3189,6.3823,5.8782,0.876,8.7734,42.0312,0.2637,5.0605,2.3318,5.9114,-32.9063,652.2972,458.2794,653.5474,458.2649,水层
972.5728,9.0078,0.0267,92.8709,88.3125,5.2502,5.2967,5.4864,5.1706,0.8755,9.75,42.0,0.2575,6.885,2.3099,5.8785,-33.25,653.615,458.3229,653.5861,459.162,水层
972.6236,9.2031,0.0304,94.5309,86.375,5.2601,5.1016,4.7896,4.5274,0.8774,10.3118,42.0,0.2636,9.5551,2.1773,5.5983,-32.6875,654.0623,458.3809,654.4709,459.2152,水层
972.6744,10.0547,0.013,96.6834,88.9375,5.2803,4.8781,4.7527,4.4859,0.8774,11.9688,42.0625,0.292,13.3043,1.9901,4.8032,-31.2344,655.3607,459.2828,655.3704,459.2683,水层
972.7252,11.0859,0.0042,97.0532,92.875,5.2214,4.9956,4.7766,4.4551,0.8755,12.2188,42.0625,0.3067,13.7873,1.9094,4.1514,-30.5,656.6881,459.3263,655.4282,459.7724,水层
972.776,10.375,0.0258,95.7583,94.875,5.0745,5.249,5.2153,4.6788,0.8774,12.1485,42.0312,0.2964,11.1919,1.991,4.3393,-30.5625,657.1306,459.8062,656.3132,460.2234,水层
972.8268,10.9922,0.0446,93.8979,94.3125,4.8998,5.195,5.789,5.1961,0.8794,9.75,42.0312,0.2603,10.6351,2.1137,5.0697,-30.0156,658.4338,459.8594,657.1933,460.291,水层
972.8776,11.5312,0.0381,91.6893,91.0625,4.7169,4.9291,5.3276,4.9457,0.8735,8.6719,42.0312,0.2437,11.027,2.1485,5.4667,-29.7969,659.3188,459.9511,658.9053,460.3345,水层
972.9284,11.9141,0.0425,91.7303,93.8125,4.6084,4.7231,4.7284,4.4915,0.8735,7.8164,42.0312,0.252,11.0276,2.1308,5.128,-29.9688,660.6318,460.3876,660.2038,460.8144,水层
972.9792,11.6172,0.0586,93.2818,98.4375,4.5606,4.6153,4.4864,4.2971,0.874,7.5938,42.0312,0.2637,10.5536,2.1312,4.5341,-29.7812,661.5215,460.8627,661.5167,460.8627,水层
973.03,11.5703,0.073,94.124,101.3125,4.502,4.5173,4.4122,4.2026,0.8745,7.5742,42.0312,0.2684,10.2627,2.1509,4.1828,-29.3438,661.9833,461.3427,662.8152,461.3379,水层
973.0808,11.9297,0.0853,94.4443,96.75,4.4118,4.377,4.3266,4.1514,0.8745,7.6328,42.0312,0.2638,11.1728,2.1628,4.1338,-28.7656,662.8731,461.813,663.277,461.4055,水层
973.1316,11.7032,0.0871,94.4306,92.2483,4.2938,4.2198,4.2586,4.1014,0.874,7.7617,42.0312,0.2581,12.4366,2.1351,4.1211,-28.4531,663.3397,461.8661,662.9359,461.8806,水层
973.1824,11.9219,0.0902,94.9656,88.125,4.1717,4.1267,4.2186,4.0752,0.874,7.5977,42.0312,0.2565,13.3043,2.1001,4.0018,-28.3906,662.9841,462.346,662.157,462.3509,水层
973.2332,12.1953,0.0899,95.4027,87.9375,4.0824,4.0836,4.0466,3.9271,0.874,7.3906,42.0312,0.2645,14.2845,2.0899,3.9178,-27.7031,661.811,462.3943,660.9888,462.3992,水层
973.284,12.4609,0.065,95.6535,87.625,4.0598,4.0125,3.9581,3.868,0.875,7.2853,42.0312,0.2808,15.8026,2.0508,3.8755,-28.2344,661.037,462.462,658.9886,462.462,水层
973.3348,12.3203,0.0415,96.6072,92.6875,4.0503,3.9315,3.9457,3.8879,0.8755,7.2812,42.0312,0.3043,16.8652,1.9841,3.8238,-28.8125,659.8495,463.3494,659.0224,462.5103,水层
973.3856,11.6641,0.0273,97.7811,96.0625,3.9693,3.9043,3.8281,3.7972,0.875,7.3711,42.0625,0.3117,16.54,1.9244,3.7077,-28.75,657.8493,462.5779,657.0173,462.1752,水层
973.4364,11.1562,0.011,98.3199,97.125,3.8888,3.8986,3.8313,3.8057,0.8745,7.3048,42.0625,0.305,15.6792,1.8967,3.6495,-28.25,656.253,462.2187,655.4211,461.8112,水层
973.4872,11.1328,0.0055,98.7249,98.25,3.8117,3.8345,3.9032,3.9007,0.874,7.2344,42.0938,0.2978,15.3274,1.9081,3.6166,-28.2656,655.0702,461.8643,653.8392,460.6322,水层
973.538,11.5938,0.0193,99.1401,98.5,3.7012,3.7281,3.8874,3.8954,0.8745,7.1562,42.0938,0.2966,14.7892,1.9494,3.5814,-28.7656,653.8826,461.0977,652.6468,458.6382,水层
973.5888,11.4219,0.0305,99.8111,103.0,3.6167,3.622,3.7318,3.7503,0.875,7.2578,42.0938,0.3024,13.7596,1.9979,3.5802,-28.5625,651.892,459.516,651.8872,457.8619,水层
982.0216,9.6875,0.0253,92.6575,98.75,3.6939,3.7882,3.9891,4.0039,0.8657,2.4844,42.8125,0.2866,4.1681,2.3401,4.2813,-28.7969,588.4689,415.7679,589.3011,418.658,水层
982.0724,9.7266,0.0245,94.1477,98.0625,3.5114,3.5995,3.598,3.6354,0.8652,2.4902,42.8125,0.3018,3.9911,2.3236,4.1408,-28.7344,593.4916,421.1843,594.324,421.5916,水层
982.1232,9.875,0.0306,96.9554,102.375,3.4221,3.3781,3.1486,3.2008,0.8652,2.5156,42.8125,0.3179,3.7765,2.3171,3.7352,-28.2969,597.6821,429.5148,598.9282,426.6006,水层
982.174,10.0859,0.0416,100.896,104.1875,3.3446,3.1639,2.7889,2.8047,0.8652,2.5859,42.8125,0.3366,3.8611,2.321,3.1742,-27.7031,603.1284,433.6801,603.9607,430.7852,水层
982.2248,9.8046,0.0512,105.9293,106.499,3.2755,3.0031,2.405,2.453,0.8657,2.7225,42.8438,0.3428,4.5626,2.3122,2.7366,-27.1405,608.1512,437.8598,608.974,434.5528,水层
982.2756,9.6172,0.0488,107.9605,103.9375,3.2964,2.9694,2.5042,2.5335,0.8652,3.0664,42.875,0.3603,5.4346,2.2992,2.4355,-26.8438,613.179,442.0347,615.6712,438.7374,水层
982.3264,9.3438,0.0524,105.4507,102.4375,3.4472,3.1322,3.1273,3.1298,0.8652,3.8379,42.8125,0.3455,5.6269,2.3168,2.2774,-26.5312,617.7834,445.3949,621.1128,442.9219,水层
982.3772,9.3281,0.085,100.6448,94.5,3.6112,3.4899,3.9141,3.8063,0.8667,5.1235,42.8438,0.3062,5.1263,2.3853,2.4668,-26.875,623.6483,447.9211,625.2938,446.2725,水层
982.428,9.2031,0.1162,94.7191,86.375,3.7732,3.8476,5.1268,4.881,0.8657,6.5469,42.875,0.2626,4.7987,2.417,3.6971,-27.25,628.2527,450.4666,629.0755,449.2156,水层
982.4788,9.4609,0.1038,85.9749,80.0,3.9252,4.1095,6.3362,5.9329,0.8628,7.0,42.875,0.2424,4.4778,2.3879,5.5449,-27.5,632.862,451.7515,634.1033,450.932,水层
982.5296,9.6097,0.0923,86.6432,81.6264,4.0643,4.2389,5.3413,5.2543,0.8628,7.394,42.875,0.2545,3.9384,2.3574,6.226,-27.6251,637.0624,453.0605,637.0624,451.8095,水层
982.5804,9.9297,0.1026,89.3467,83.375,4.2754,4.2725,4.7751,4.6608,0.8628,8.7656,42.8125,0.2581,3.5323,2.3776,5.6837,-27.75,640.4352,453.5161,639.1987,451.2998,水层
982.6312,10.0312,0.0958,91.36,91.4375,4.4805,4.2809,4.5761,4.451,0.8638,9.4766,42.8438,0.2645,3.4115,2.3874,4.9899,-27.7812,642.1432,454.0008,640.493,451.3067,水层
